scenario,hour,metric,n_cells,mean,median,std,min,p25,p75,max,missing_count
overhead_as_canopy,15,tmrt_mean_c,24,45.26721318562826,43.87809944152832,8.226364720945384,35.520782470703125,38.36158275604248,52.477128982543945,57.91175079345703,0
overhead_as_canopy,15,tmrt_p50_c,24,44.71434529622396,39.152706146240234,10.356288405806302,35.48087310791016,35.8219690322876,57.011457443237305,60.14981460571289,0
overhead_as_canopy,15,tmrt_p75_c,24,48.828647454579674,53.92380142211914,10.720449375822042,35.52627182006836,36.8247127532959,58.62078094482422,60.62211990356445,0
overhead_as_canopy,15,tmrt_p90_c,24,52.91072130203247,57.903303146362305,9.930634744867977,35.5282096862793,50.47579002380371,59.71427536010742,60.863189697265625,0
overhead_as_canopy,15,tmrt_p95_c,24,54.32161490122477,59.3035831451416,9.665913291615023,35.52853775024414,55.708683013916016,60.42343997955323,60.86521911621094,0
overhead_as_canopy,15,tmrt_max_c,24,57.48115793863932,60.457054138183594,6.919914460396231,35.53129959106445,57.363868713378906,60.80144786834717,60.86521911621094,0
overhead_as_canopy,15,pct_pixels_tmrt_ge_40,24,44.651666666666664,40.02,36.860701315212054,0.0,13.33,80.37,100.0,0
overhead_as_canopy,15,pct_pixels_tmrt_ge_45,24,41.03833333333333,34.72,34.81294407777543,0.0,12.16,71.89,95.96,0
overhead_as_canopy,15,pct_pixels_tmrt_ge_50,24,41.01166666666666,34.58,34.823752971420134,0.0,12.16,71.83,95.96,0
overhead_as_canopy,15,pct_pixels_tmrt_ge_55,24,35.154999999999994,21.44,34.47447814656896,0.0,6.96,65.25,94.72,0
overhead_as_canopy,16,tmrt_mean_c,24,40.1791467666626,38.97306823730469,5.404128694021208,34.296932220458984,35.658002853393555,44.64771270751953,48.92706298828125,0
overhead_as_canopy,16,tmrt_p50_c,24,39.33359464009603,35.696895599365234,6.800371865552398,34.182762145996094,34.31657123565674,47.89018630981445,51.123008728027344,0
overhead_as_canopy,16,tmrt_p75_c,24,42.423961321512856,44.85405349731445,7.233248262037067,34.301605224609375,34.75509262084961,49.535797119140625,51.611812591552734,0
overhead_as_canopy,16,tmrt_p90_c,24,45.64155149459839,48.777780532836914,6.770256891493478,34.30322265625,42.78892803192139,50.64490032196045,51.87674331665039,0
overhead_as_canopy,16,tmrt_p95_c,24,46.83040078481039,50.23113250732422,6.637566094817672,34.30349349975586,46.4359769821167,51.395713806152344,51.878787994384766,0
overhead_as_canopy,16,tmrt_max_c,24,48.66345373789469,51.420867919921875,5.615388831233884,34.305545806884766,48.524784088134766,51.81219482421875,51.878787994384766,0
overhead_as_canopy,16,pct_pixels_tmrt_ge_40,24,37.404999999999994,29.259999999999998,33.896590183777434,0.0,9.450000000000001,66.45,93.92,0
overhead_as_canopy,16,pct_pixels_tmrt_ge_45,24,36.19333333333333,25.6,33.861696542754956,0.0,9.18,65.22,93.52,0
overhead_as_canopy,16,pct_pixels_tmrt_ge_50,24,15.781666666666666,5.220000000000001,21.74831201179344,0.0,0.0,21.799999999999997,77.52,0
overhead_as_canopy,16,pct_pixels_tmrt_ge_55,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
