scenario,metric,hour_a,hour_b,spearman_r,n_cells
base,pct_pixels_tmrt_ge_55,12,13,0.9936915614706201,24
base,pct_pixels_tmrt_ge_55,12,15,0.9806395707332654,24
base,pct_pixels_tmrt_ge_55,12,16,,24
base,pct_pixels_tmrt_ge_55,13,15,0.971291866028708,24
base,pct_pixels_tmrt_ge_55,13,16,,24
base,pct_pixels_tmrt_ge_55,15,16,,24
overhead_as_canopy,tmrt_mean_c,10,12,0.988695652173913,24
overhead_as_canopy,tmrt_mean_c,10,13,0.988695652173913,24
overhead_as_canopy,tmrt_mean_c,10,15,0.9869565217391304,24
overhead_as_canopy,tmrt_mean_c,10,16,0.983478260869565,24
overhead_as_canopy,tmrt_mean_c,12,13,0.9982608695652172,24
overhead_as_canopy,tmrt_mean_c,12,15,0.9930434782608695,24
overhead_as_canopy,tmrt_mean_c,12,16,0.9782608695652173,24
overhead_as_canopy,tmrt_mean_c,13,15,0.9895652173913043,24
overhead_as_canopy,tmrt_mean_c,13,16,0.9747826086956521,24
overhead_as_canopy,tmrt_mean_c,15,16,0.9852173913043477,24
overhead_as_canopy,tmrt_p75_c,10,12,0.9817391304347826,24
overhead_as_canopy,tmrt_p75_c,10,13,0.9869565217391304,24
overhead_as_canopy,tmrt_p75_c,10,15,0.9852173913043477,24
overhead_as_canopy,tmrt_p75_c,10,16,0.9878260869565217,24
overhead_as_canopy,tmrt_p75_c,12,13,0.9956521739130434,24
overhead_as_canopy,tmrt_p75_c,12,15,0.9765217391304346,24
overhead_as_canopy,tmrt_p75_c,12,16,0.9730434782608696,24
overhead_as_canopy,tmrt_p75_c,13,15,0.988695652173913,24
overhead_as_canopy,tmrt_p75_c,13,16,0.9860869565217389,24
overhead_as_canopy,tmrt_p75_c,15,16,0.9982608695652172,24
overhead_as_canopy,tmrt_p90_c,10,12,0.9852173913043477,24
overhead_as_canopy,tmrt_p90_c,10,13,0.9869565217391304,24
overhead_as_canopy,tmrt_p90_c,10,15,0.994782608695652,24
overhead_as_canopy,tmrt_p90_c,10,16,0.9930434782608695,24
overhead_as_canopy,tmrt_p90_c,12,13,0.9860869565217389,24
overhead_as_canopy,tmrt_p90_c,12,15,0.9826086956521738,24
overhead_as_canopy,tmrt_p90_c,12,16,0.9773913043478261,24
overhead_as_canopy,tmrt_p90_c,13,15,0.9939130434782607,24
overhead_as_canopy,tmrt_p90_c,13,16,0.9895652173913043,24
overhead_as_canopy,tmrt_p90_c,15,16,0.997391304347826,24
overhead_as_canopy,tmrt_p95_c,10,12,0.9852173913043477,24
overhead_as_canopy,tmrt_p95_c,10,13,0.994782608695652,24
overhead_as_canopy,tmrt_p95_c,10,15,0.9939130434782607,24
overhead_as_canopy,tmrt_p95_c,10,16,0.9895652173913043,24
overhead_as_canopy,tmrt_p95_c,12,13,0.9930434782608695,24
overhead_as_canopy,tmrt_p95_c,12,15,0.9817391304347826,24
overhead_as_canopy,tmrt_p95_c,12,16,0.9739130434782608,24
overhead_as_canopy,tmrt_p95_c,13,15,0.994782608695652,24
overhead_as_canopy,tmrt_p95_c,13,16,0.988695652173913,24
overhead_as_canopy,tmrt_p95_c,15,16,0.9956521739130434,24
overhead_as_canopy,tmrt_max_c,10,12,0.9704347826086955,24
overhead_as_canopy,tmrt_max_c,10,13,0.9965217391304346,24
overhead_as_canopy,tmrt_max_c,10,15,0.9904347826086956,24
overhead_as_canopy,tmrt_max_c,10,16,0.9913043478260868,24
overhead_as_canopy,tmrt_max_c,12,13,0.9704347826086955,24
overhead_as_canopy,tmrt_max_c,12,15,0.9643478260869565,24
overhead_as_canopy,tmrt_max_c,12,16,0.9634782608695651,24
overhead_as_canopy,tmrt_max_c,13,15,0.9921739130434782,24
overhead_as_canopy,tmrt_max_c,13,16,0.9913043478260868,24
overhead_as_canopy,tmrt_max_c,15,16,0.9991304347826085,24
overhead_as_canopy,pct_pixels_tmrt_ge_50,10,12,,24
overhead_as_canopy,pct_pixels_tmrt_ge_50,10,13,,24
overhead_as_canopy,pct_pixels_tmrt_ge_50,10,15,,24
overhead_as_canopy,pct_pixels_tmrt_ge_50,10,16,,24
overhead_as_canopy,pct_pixels_tmrt_ge_50,12,13,0.9956502827316225,24
overhead_as_canopy,pct_pixels_tmrt_ge_50,12,15,0.9939103958242713,24
overhead_as_canopy,pct_pixels_tmrt_ge_50,12,16,0.9184276254626603,24
overhead_as_canopy,pct_pixels_tmrt_ge_50,13,15,0.9878207916485429,24
overhead_as_canopy,pct_pixels_tmrt_ge_50,13,16,0.9086806849126468,24
overhead_as_canopy,pct_pixels_tmrt_ge_50,15,16,0.9157693689490202,24
overhead_as_canopy,pct_pixels_tmrt_ge_55,10,12,,24
overhead_as_canopy,pct_pixels_tmrt_ge_55,10,13,,24
overhead_as_canopy,pct_pixels_tmrt_ge_55,10,15,,24
overhead_as_canopy,pct_pixels_tmrt_ge_55,10,16,,24
overhead_as_canopy,pct_pixels_tmrt_ge_55,12,13,0.9956502827316225,24
overhead_as_canopy,pct_pixels_tmrt_ge_55,12,15,0.9826011309264897,24
overhead_as_canopy,pct_pixels_tmrt_ge_55,12,16,,24
overhead_as_canopy,pct_pixels_tmrt_ge_55,13,15,0.9747716398434101,24
overhead_as_canopy,pct_pixels_tmrt_ge_55,13,16,,24
overhead_as_canopy,pct_pixels_tmrt_ge_55,15,16,,24
