scenario,hour,metric_a,metric_b,spearman_r,n_cells,emphasis_pair
base,13,tmrt_p90_c,pct_pixels_tmrt_ge_55,0.902370101784091,24,True
base,13,tmrt_p95_c,tmrt_max_c,0.8486956521739129,24,False
base,13,tmrt_p95_c,pct_pixels_tmrt_ge_40,0.716866583270359,24,False
base,13,tmrt_p95_c,pct_pixels_tmrt_ge_45,0.717982187009896,24,False
base,13,tmrt_p95_c,pct_pixels_tmrt_ge_50,0.717982187009896,24,False
base,13,tmrt_p95_c,pct_pixels_tmrt_ge_55,0.717982187009896,24,False
base,13,tmrt_max_c,pct_pixels_tmrt_ge_40,0.4974975741821617,24,False
base,13,tmrt_max_c,pct_pixels_tmrt_ge_45,0.4935855737469607,24,False
base,13,tmrt_max_c,pct_pixels_tmrt_ge_50,0.4935855737469607,24,False
base,13,tmrt_max_c,pct_pixels_tmrt_ge_55,0.4935855737469607,24,False
base,13,pct_pixels_tmrt_ge_40,pct_pixels_tmrt_ge_45,0.9982589765716884,24,False
base,13,pct_pixels_tmrt_ge_40,pct_pixels_tmrt_ge_50,0.9982589765716884,24,False
base,13,pct_pixels_tmrt_ge_40,pct_pixels_tmrt_ge_55,0.9982589765716884,24,False
base,13,pct_pixels_tmrt_ge_45,pct_pixels_tmrt_ge_50,1.0,24,False
base,13,pct_pixels_tmrt_ge_45,pct_pixels_tmrt_ge_55,1.0,24,False
base,13,pct_pixels_tmrt_ge_50,pct_pixels_tmrt_ge_55,1.0,24,False
base,15,tmrt_mean_c,tmrt_p50_c,0.9608695652173912,24,False
base,15,tmrt_mean_c,tmrt_p75_c,0.9643478260869565,24,False
base,15,tmrt_mean_c,tmrt_p90_c,0.8582608695652173,24,True
base,15,tmrt_mean_c,tmrt_p95_c,0.6452173913043477,24,False
base,15,tmrt_mean_c,tmrt_max_c,0.4434782608695652,24,False
base,15,tmrt_mean_c,pct_pixels_tmrt_ge_40,0.9771496535773867,24,True
base,15,tmrt_mean_c,pct_pixels_tmrt_ge_45,0.9910850419112981,24,True
base,15,tmrt_mean_c,pct_pixels_tmrt_ge_50,0.9910850419112981,24,True
base,15,tmrt_mean_c,pct_pixels_tmrt_ge_55,0.9936943048562159,24,True
base,15,tmrt_p50_c,tmrt_p75_c,0.9313043478260868,24,False
base,15,tmrt_p50_c,tmrt_p90_c,0.7999999999999999,24,True
base,15,tmrt_p50_c,tmrt_p95_c,0.5669565217391304,24,False
base,15,tmrt_p50_c,tmrt_max_c,0.3278260869565217,24,False
base,15,tmrt_p50_c,pct_pixels_tmrt_ge_40,0.9453759677372313,24,False
base,15,tmrt_p50_c,pct_pixels_tmrt_ge_45,0.9567297464698796,24,False
base,15,tmrt_p50_c,pct_pixels_tmrt_ge_50,0.9567297464698796,24,False
base,15,tmrt_p50_c,pct_pixels_tmrt_ge_55,0.9689063068794963,24,False
base,15,tmrt_p75_c,tmrt_p90_c,0.8895652173913042,24,True
base,15,tmrt_p75_c,tmrt_p95_c,0.6939130434782607,24,False
base,15,tmrt_p75_c,tmrt_max_c,0.4782608695652173,24,False
base,15,tmrt_p75_c,pct_pixels_tmrt_ge_40,0.9710560699916035,24,False
base,15,tmrt_p75_c,pct_pixels_tmrt_ge_45,0.9649924124621196,24,False
base,15,tmrt_p75_c,pct_pixels_tmrt_ge_50,0.9649924124621196,24,False
base,15,tmrt_p75_c,pct_pixels_tmrt_ge_55,0.952815852052503,24,False
base,15,tmrt_p90_c,tmrt_p95_c,0.82,24,True
base,15,tmrt_p90_c,tmrt_max_c,0.6008695652173912,24,True
base,15,tmrt_p90_c,pct_pixels_tmrt_ge_40,0.8339504393114802,24,True
base,15,tmrt_p90_c,pct_pixels_tmrt_ge_45,0.8454011941533847,24,True
base,15,tmrt_p90_c,pct_pixels_tmrt_ge_50,0.8454011941533847,24,True
base,15,tmrt_p90_c,pct_pixels_tmrt_ge_55,0.8367036510036583,24,True
base,15,tmrt_p95_c,tmrt_max_c,0.8817391304347826,24,False
base,15,tmrt_p95_c,pct_pixels_tmrt_ge_40,0.6620243309983097,24,False
base,15,tmrt_p95_c,pct_pixels_tmrt_ge_45,0.6562296306468401,24,False
base,15,tmrt_p95_c,pct_pixels_tmrt_ge_50,0.6562296306468401,24,False
base,15,tmrt_p95_c,pct_pixels_tmrt_ge_55,0.6310067555126343,24,False
base,15,tmrt_max_c,pct_pixels_tmrt_ge_40,0.47747579954315955,24,False
base,15,tmrt_max_c,pct_pixels_tmrt_ge_45,0.47010220724269997,24,False
base,15,tmrt_max_c,pct_pixels_tmrt_ge_50,0.47010220724269997,24,False
base,15,tmrt_max_c,pct_pixels_tmrt_ge_55,0.44140031484860354,24,False
base,15,pct_pixels_tmrt_ge_40,pct_pixels_tmrt_ge_45,0.9912933666174157,24,False
base,15,pct_pixels_tmrt_ge_40,pct_pixels_tmrt_ge_50,0.9912933666174157,24,False
base,15,pct_pixels_tmrt_ge_40,pct_pixels_tmrt_ge_55,0.9747500429760183,24,False
base,15,pct_pixels_tmrt_ge_45,pct_pixels_tmrt_ge_50,1.0,24,False
base,15,pct_pixels_tmrt_ge_45,pct_pixels_tmrt_ge_55,0.9852109612875163,24,False
base,15,pct_pixels_tmrt_ge_50,pct_pixels_tmrt_ge_55,0.9852109612875163,24,False
base,16,tmrt_mean_c,tmrt_p50_c,0.9669565217391304,24,False
base,16,tmrt_mean_c,tmrt_p75_c,0.9582608695652173,24,False
base,16,tmrt_mean_c,tmrt_p90_c,0.8530434782608695,24,True
base,16,tmrt_mean_c,tmrt_p95_c,0.6365217391304347,24,False
base,16,tmrt_mean_c,tmrt_max_c,0.43304347826086953,24,False
base,16,tmrt_mean_c,pct_pixels_tmrt_ge_40,0.9973894116841301,24,True
base,16,tmrt_mean_c,pct_pixels_tmrt_ge_45,0.9965190893353656,24,True
base,16,tmrt_mean_c,pct_pixels_tmrt_ge_50,0.9598649098235947,24,True
base,16,tmrt_mean_c,pct_pixels_tmrt_ge_55,,24,True
base,16,tmrt_p50_c,tmrt_p75_c,0.9347826086956521,24,False
base,16,tmrt_p50_c,tmrt_p90_c,0.8052173913043478,24,True
base,16,tmrt_p50_c,tmrt_p95_c,0.5939130434782608,24,False
base,16,tmrt_p50_c,tmrt_max_c,0.34347826086956523,24,False
base,16,tmrt_p50_c,pct_pixels_tmrt_ge_40,0.9625765177335498,24,False
base,16,tmrt_p50_c,pct_pixels_tmrt_ge_45,0.9617061953847851,24,False
base,16,tmrt_p50_c,pct_pixels_tmrt_ge_50,0.9474624098351034,24,False
base,16,tmrt_p50_c,pct_pixels_tmrt_ge_55,,24,False
base,16,tmrt_p75_c,tmrt_p90_c,0.8895652173913042,24,True
base,16,tmrt_p75_c,tmrt_p95_c,0.6965217391304346,24,False
base,16,tmrt_p75_c,tmrt_max_c,0.4782608695652173,24,False
base,16,tmrt_p75_c,pct_pixels_tmrt_ge_40,0.954743616594669,24,False
base,16,tmrt_p75_c,pct_pixels_tmrt_ge_45,0.9556139389434336,24,False
base,16,tmrt_p75_c,pct_pixels_tmrt_ge_50,0.9208856241454791,24,False
base,16,tmrt_p75_c,pct_pixels_tmrt_ge_55,,24,False
base,16,tmrt_p90_c,tmrt_p95_c,0.8217391304347826,24,True
