hour,metric,cell_id,base_value,overhead_value,base_rank,overhead_rank,rank_delta,abs_rank_delta,cell_metric_mean_abs_rank_delta,cell_metric_max_abs_rank_delta
13,pct_pixels_tmrt_ge_55,TP_0059,100.0,89.88000000000001,1,6,5.0,5.0,2.4,5.0
13,pct_pixels_tmrt_ge_55,TP_0088,99.96,28.6,2,14,12.0,12.0,7.0,13.0
13,pct_pixels_tmrt_ge_55,TP_0986,99.84,99.84,3,1,-2.0,2.0,1.2,2.0
13,pct_pixels_tmrt_ge_55,TP_0366,98.44,97.48,4,2,-2.0,2.0,1.2,2.0
13,pct_pixels_tmrt_ge_55,TP_0565,95.52,95.52,5,3,-2.0,2.0,1.4,3.0
13,pct_pixels_tmrt_ge_55,TP_0627,94.32,94.32,6,4,-2.0,2.0,1.2,2.0
13,pct_pixels_tmrt_ge_55,TP_0960,92.84,92.16,7,5,-2.0,2.0,1.2,2.0
13,pct_pixels_tmrt_ge_55,TP_0575,91.52,43.88,8,13,5.0,5.0,4.2,10.0
13,pct_pixels_tmrt_ge_55,TP_0037,72.84,50.8,9,11,2.0,2.0,1.2,2.0
13,pct_pixels_tmrt_ge_55,TP_0115,72.56,72.56,10,7,-3.0,3.0,1.4,3.0
13,pct_pixels_tmrt_ge_55,TP_0301,63.16,63.16,11,8,-3.0,3.0,2.0,4.0
13,pct_pixels_tmrt_ge_55,TP_0098,61.16,59.6,12,9,-3.0,3.0,1.6,3.0
13,pct_pixels_tmrt_ge_55,TP_0676,55.44,50.0,13,12,-1.0,1.0,1.4,3.0
13,pct_pixels_tmrt_ge_55,TP_0326,54.08,52.88,14,10,-4.0,4.0,1.8,4.0
13,pct_pixels_tmrt_ge_55,TP_0773,25.08,25.08,15,15,0.0,0.0,0.4,1.0
13,pct_pixels_tmrt_ge_55,TP_0409,22.56,22.040000000000003,16,16,0.0,0.0,0.2,1.0
13,pct_pixels_tmrt_ge_55,TP_0254,17.28,17.119999999999997,17,17,0.0,0.0,0.0,0.0
13,pct_pixels_tmrt_ge_55,TP_0141,13.28,13.28,18,18,0.0,0.0,0.0,0.0
13,pct_pixels_tmrt_ge_55,TP_0542,10.36,10.0,19,19,0.0,0.0,0.0,0.0
13,pct_pixels_tmrt_ge_55,TP_0857,3.8,3.8,20,20,0.0,0.0,0.0,0.0
13,pct_pixels_tmrt_ge_55,TP_0433,1.44,1.44,21,21,0.0,0.0,0.0,0.0
13,pct_pixels_tmrt_ge_55,TP_0154,1.08,1.08,22,22,0.0,0.0,0.0,0.0
13,pct_pixels_tmrt_ge_55,TP_0492,0.0,0.0,23,23,0.0,0.0,0.0,0.0
13,pct_pixels_tmrt_ge_55,TP_0835,0.0,0.0,23,23,0.0,0.0,0.0,0.0
15,pct_pixels_tmrt_ge_55,TP_0059,100.0,87.48,1,4,3.0,3.0,2.4,5.0
15,pct_pixels_tmrt_ge_55,TP_0088,99.88,22.28,2,12,10.0,10.0,7.0,13.0
15,pct_pixels_tmrt_ge_55,TP_0366,96.84,94.72,3,1,-2.0,2.0,1.2,2.0
15,pct_pixels_tmrt_ge_55,TP_0960,91.12,89.84,4,2,-2.0,2.0,1.2,2.0
15,pct_pixels_tmrt_ge_55,TP_0575,89.72,16.28,5,15,10.0,10.0,4.2,10.0
15,pct_pixels_tmrt_ge_55,TP_0565,89.52,89.52,6,3,-3.0,3.0,1.4,3.0
15,pct_pixels_tmrt_ge_55,TP_0986,86.32,86.32,7,5,-2.0,2.0,1.2,2.0
15,pct_pixels_tmrt_ge_55,TP_0627,74.76,74.76,8,6,-2.0,2.0,1.2,2.0
15,pct_pixels_tmrt_ge_55,TP_0115,62.08,62.08,9,7,-2.0,2.0,1.4,3.0
15,pct_pixels_tmrt_ge_55,TP_0098,48.56,45.6,10,8,-2.0,2.0,1.6,3.0
15,pct_pixels_tmrt_ge_55,TP_0037,41.28,20.6,11,13,2.0,2.0,1.2,2.0
