scenario,metric,hour_a,hour_b,top_k,top_cells_hour_a,top_cells_hour_b,overlap_count,jaccard_overlap
base,pct_pixels_tmrt_ge_50,13,15,6,TP_0059;TP_0088;TP_0986;TP_0366;TP_0565;TP_0627,TP_0059;TP_0088;TP_0366;TP_0565;TP_0986;TP_0960,5,0.7142857142857143
base,pct_pixels_tmrt_ge_50,13,15,3,TP_0059;TP_0088;TP_0986,TP_0059;TP_0088;TP_0366,2,0.5
base,pct_pixels_tmrt_ge_50,13,16,6,TP_0059;TP_0088;TP_0986;TP_0366;TP_0565;TP_0627,TP_0059;TP_0088;TP_0575;TP_0960;TP_0366;TP_0627,4,0.5
base,pct_pixels_tmrt_ge_50,13,16,3,TP_0059;TP_0088;TP_0986,TP_0059;TP_0088;TP_0575,2,0.5
base,pct_pixels_tmrt_ge_50,15,16,6,TP_0059;TP_0088;TP_0366;TP_0565;TP_0986;TP_0960,TP_0059;TP_0088;TP_0575;TP_0960;TP_0366;TP_0627,4,0.5
base,pct_pixels_tmrt_ge_50,15,16,3,TP_0059;TP_0088;TP_0366,TP_0059;TP_0088;TP_0575,2,0.5
base,pct_pixels_tmrt_ge_55,10,12,6,TP_0037;TP_0059;TP_0088;TP_0098;TP_0115;TP_0141,TP_0059;TP_0088;TP_0986;TP_0366;TP_0565;TP_0960,2,0.2
base,pct_pixels_tmrt_ge_55,10,12,3,TP_0037;TP_0059;TP_0088,TP_0059;TP_0088;TP_0986,2,0.5
base,pct_pixels_tmrt_ge_55,10,13,6,TP_0037;TP_0059;TP_0088;TP_0098;TP_0115;TP_0141,TP_0059;TP_0088;TP_0986;TP_0366;TP_0565;TP_0627,2,0.2
base,pct_pixels_tmrt_ge_55,10,13,3,TP_0037;TP_0059;TP_0088,TP_0059;TP_0088;TP_0986,2,0.5
base,pct_pixels_tmrt_ge_55,10,15,6,TP_0037;TP_0059;TP_0088;TP_0098;TP_0115;TP_0141,TP_0059;TP_0088;TP_0366;TP_0960;TP_0575;TP_0565,2,0.2
base,pct_pixels_tmrt_ge_55,10,15,3,TP_0037;TP_0059;TP_0088,TP_0059;TP_0088;TP_0366,2,0.5
base,pct_pixels_tmrt_ge_55,10,16,6,TP_0037;TP_0059;TP_0088;TP_0098;TP_0115;TP_0141,TP_0037;TP_0059;TP_0088;TP_0098;TP_0115;TP_0141,6,1.0
base,pct_pixels_tmrt_ge_55,10,16,3,TP_0037;TP_0059;TP_0088,TP_0037;TP_0059;TP_0088,3,1.0
base,pct_pixels_tmrt_ge_55,12,13,6,TP_0059;TP_0088;TP_0986;TP_0366;TP_0565;TP_0960,TP_0059;TP_0088;TP_0986;TP_0366;TP_0565;TP_0627,5,0.7142857142857143
base,pct_pixels_tmrt_ge_55,12,13,3,TP_0059;TP_0088;TP_0986,TP_0059;TP_0088;TP_0986,3,1.0
base,pct_pixels_tmrt_ge_55,12,15,6,TP_0059;TP_0088;TP_0986;TP_0366;TP_0565;TP_0960,TP_0059;TP_0088;TP_0366;TP_0960;TP_0575;TP_0565,5,0.7142857142857143
base,pct_pixels_tmrt_ge_55,12,15,3,TP_0059;TP_0088;TP_0986,TP_0059;TP_0088;TP_0366,2,0.5
base,pct_pixels_tmrt_ge_55,12,16,6,TP_0059;TP_0088;TP_0986;TP_0366;TP_0565;TP_0960,TP_0037;TP_0059;TP_0088;TP_0098;TP_0115;TP_0141,2,0.2
base,pct_pixels_tmrt_ge_55,12,16,3,TP_0059;TP_0088;TP_0986,TP_0037;TP_0059;TP_0088,2,0.5
base,pct_pixels_tmrt_ge_55,13,15,6,TP_0059;TP_0088;TP_0986;TP_0366;TP_0565;TP_0627,TP_0059;TP_0088;TP_0366;TP_0960;TP_0575;TP_0565,4,0.5
base,pct_pixels_tmrt_ge_55,13,15,3,TP_0059;TP_0088;TP_0986,TP_0059;TP_0088;TP_0366,2,0.5
base,pct_pixels_tmrt_ge_55,13,16,6,TP_0059;TP_0088;TP_0986;TP_0366;TP_0565;TP_0627,TP_0037;TP_0059;TP_0088;TP_0098;TP_0115;TP_0141,2,0.2
base,pct_pixels_tmrt_ge_55,13,16,3,TP_0059;TP_0088;TP_0986,TP_0037;TP_0059;TP_0088,2,0.5
base,pct_pixels_tmrt_ge_55,15,16,6,TP_0059;TP_0088;TP_0366;TP_0960;TP_0575;TP_0565,TP_0037;TP_0059;TP_0088;TP_0098;TP_0115;TP_0141,2,0.2
base,pct_pixels_tmrt_ge_55,15,16,3,TP_0059;TP_0088;TP_0366,TP_0037;TP_0059;TP_0088,2,0.5
overhead_as_canopy,tmrt_mean_c,10,12,6,TP_0366;TP_0986;TP_0059;TP_0565;TP_0960;TP_0627,TP_0986;TP_0366;TP_0565;TP_0059;TP_0960;TP_0627,6,1.0
overhead_as_canopy,tmrt_mean_c,10,12,3,TP_0366;TP_0986;TP_0059,TP_0986;TP_0366;TP_0565,2,0.5
overhead_as_canopy,tmrt_mean_c,10,13,6,TP_0366;TP_0986;TP_0059;TP_0565;TP_0960;TP_0627,TP_0986;TP_0366;TP_0565;TP_0059;TP_0960;TP_0627,6,1.0
overhead_as_canopy,tmrt_mean_c,10,13,3,TP_0366;TP_0986;TP_0059,TP_0986;TP_0366;TP_0565,2,0.5
overhead_as_canopy,tmrt_mean_c,10,15,6,TP_0366;TP_0986;TP_0059;TP_0565;TP_0960;TP_0627,TP_0366;TP_0565;TP_0986;TP_0960;TP_0059;TP_0627,6,1.0
overhead_as_canopy,tmrt_mean_c,10,15,3,TP_0366;TP_0986;TP_0059,TP_0366;TP_0565;TP_0986,2,0.5
overhead_as_canopy,tmrt_mean_c,10,16,6,TP_0366;TP_0986;TP_0059;TP_0565;TP_0960;TP_0627,TP_0059;TP_0366;TP_0565;TP_0960;TP_0986;TP_0627,6,1.0
overhead_as_canopy,tmrt_mean_c,10,16,3,TP_0366;TP_0986;TP_0059,TP_0059;TP_0366;TP_0565,2,0.5
overhead_as_canopy,tmrt_mean_c,12,13,6,TP_0986;TP_0366;TP_0565;TP_0059;TP_0960;TP_0627,TP_0986;TP_0366;TP_0565;TP_0059;TP_0960;TP_0627,6,1.0
overhead_as_canopy,tmrt_mean_c,12,13,3,TP_0986;TP_0366;TP_0565,TP_0986;TP_0366;TP_0565,3,1.0
overhead_as_canopy,tmrt_mean_c,12,15,6,TP_0986;TP_0366;TP_0565;TP_0059;TP_0960;TP_0627,TP_0366;TP_0565;TP_0986;TP_0960;TP_0059;TP_0627,6,1.0
