cell_id,median_delta_tmrt_p90_core_hours_fd01,median_delta_tmrt_p90_core_hours_fd02,max_abs_rank_drift_core_hours,h10_rank_drift,sign_flip_count,top_k_presence_count,neutral_boundary_count,robust_priority_score,stability_class,notes,top3_core_presence_count,top5_core_presence_count,top10_core_presence_count,neutral_core_count,sign_flip_near_zero_count,sign_flip_non_neutral_count,meaningful_core_delta_count,strong_core_delta_count,h10_only_instability_flag,fd01_rank_summary,fd02_rank_summary,fd01_delta_summary,fd02_delta_summary
TP_0409,-0.432002,-0.238160,8,16,1,3,1,9,high_priority_unstable,Meaningful cooling evidence coexists with core-hour rank instability; review before anchoring.,0,3,6,0,0,1,8,1,no,h12=4; h13=5; h15=4; h16=10,h12=9; h13=8; h15=12; h16=13,h12=-0.457; h13=-0.407; h15=-0.544; h16=-0.271,h12=-0.287; h13=-0.418; h15=-0.190; h16=-0.180
TP_0835,-0.194061,-0.225164,2,3,0,0,0,8,stable_neutral,Stable but not a robust priority anchor under the conservative F4 rule.,0,0,1,0,0,0,7,0,no,h12=12; h13=13; h15=12; h16=12,h12=12; h13=13; h15=10; h16=11,h12=-0.108; h13=-0.169; h15=-0.219; h16=-0.225,h12=-0.229; h13=-0.225; h15=-0.225; h16=-0.218
TP_0098,-0.281234,-0.322368,3,14,1,0,1,6,unstable_review,Instability is present; distinguish h10-only caveat from core-hour disagreement before use.,0,0,7,0,0,1,8,0,yes,h12=8; h13=6; h15=10; h16=9,h12=8; h13=9; h15=13; h16=9,h12=-0.221; h13=-0.356; h15=-0.247; h16=-0.316,h12=-0.355; h13=-0.360; h15=-0.176; h16=-0.289
TP_0627,-0.075744,-0.081856,1,4,0,0,1,0,stable_neutral,Stable but not a robust priority anchor under the conservative F4 rule.,0,0,0,0,0,0,0,0,no,h12=14; h13=14; h15=15; h16=15,h12=15; h13=14; h15=15; h16=15,h12=-0.057; h13=-0.077; h15=-0.080; h16=-0.074,h12=-0.088; h13=-0.091; h15=-0.075; h16=-0.073
TP_0254,-0.072803,-0.086664,1,2,0,0,2,-2,stable_neutral,Stable but not a robust priority anchor under the conservative F4 rule.,0,0,0,1,0,0,0,0,no,h12=15; h13=15; h15=14; h16=14,h12=14; h13=15; h15=14; h16=14,h12=-0.055; h13=-0.050; h15=-0.090; h16=-0.107,h12=-0.096; h13=-0.064; h15=-0.081; h16=-0.093
TP_0115,0.000000,0.000000,0,2,0,0,10,-16,stable_neutral,"Core-hour delta is consistently near zero; useful as a neutral comparator, not a cooling anchor.",0,0,0,8,0,0,0,0,no,h12=20; h13=20; h15=20; h16=20,h12=20; h13=20; h15=20; h16=20,h12=0.000; h13=0.000; h15=0.000; h16=0.000,h12=0.000; h13=0.000; h15=0.000; h16=0.000
TP_0301,0.000000,0.000000,0,2,0,0,10,-16,stable_neutral,"Core-hour delta is consistently near zero; useful as a neutral comparator, not a cooling anchor.",0,0,0,8,0,0,0,0,no,h12=20; h13=20; h15=20; h16=20,h12=20; h13=20; h15=20; h16=20,h12=0.000; h13=0.000; h15=0.000; h16=0.000,h12=0.000; h13=0.000; h15=0.000; h16=0.000
TP_0326,0.000000,0.000000,0,2,1,0,10,-16,neutral_boundary,Sign flip is inside the neutral delta band and should not be interpreted as warming evidence.,0,0,0,8,1,0,0,0,yes,h12=20; h13=20; h15=20; h16=20,h12=20; h13=20; h15=20; h16=20,h12=0.000; h13=0.000; h15=0.000; h16=0.000,h12=0.000; h13=0.000; h15=0.000; h16=0.000
TP_0366,-0.019471,-0.024104,2,4,0,0,10,-16,stable_neutral,"Core-hour delta is consistently near zero; useful as a neutral comparator, not a cooling anchor.",0,0,0,8,0,0,0,0,no,h12=18; h13=18; h15=16; h16=16,h12=16; h13=16; h15=16; h16=17,h12=-0.013; h13=-0.019; h15=-0.020; h16=-0.031,h12=-0.024; h13=-0.024; h15=-0.022; h16=-0.028
TP_0492,0.000000,0.000000,0,2,0,0,10,-16,stable_neutral,"Core-hour delta is consistently near zero; useful as a neutral comparator, not a cooling anchor.",0,0,0,8,0,0,0,0,no,h12=20; h13=20; h15=20; h16=20,h12=20; h13=20; h15=20; h16=20,h12=0.000; h13=0.000; h15=0.000; h16=0.000,h12=0.000; h13=0.000; h15=0.000; h16=0.000
TP_0565,-0.014348,-0.017702,2,4,0,0,10,-16,stable_neutral,"Core-hour delta is consistently near zero; useful as a neutral comparator, not a cooling anchor.",0,0,0,8,0,0,0,0,no,h12=16; h13=17; h15=18; h16=18,h12=18; h13=17; h15=17; h16=18,h12=-0.016; h13=-0.023; h15=-0.009; h16=-0.013,h12=-0.021; h13=-0.020; h15=-0.015; h16=-0.013
TP_0960,-0.004490,-0.009220,1,2,0,0,10,-16,stable_neutral,"Core-hour delta is consistently near zero; useful as a neutral comparator, not a cooling anchor.",0,0,0,8,0,0,0,0,no,h12=19; h13=19; h15=19; h16=19,h12=19; h13=18; h15=18; h16=19,h12=-0.007; h13=-0.001; h15=-0.007; h16=-0.002,h12=-0.013; h13=-0.009; h15=-0.009; h16=-0.003
TP_0986,0.000000,0.000000,0,2,0,0,10,-16,stable_neutral,"Core-hour delta is consistently near zero; useful as a neutral comparator, not a cooling anchor.",0,0,0,8,0,0,0,0,no,h12=20; h13=20; h15=20; h16=20,h12=20; h13=20; h15=20; h16=20,h12=0.000; h13=0.000; h15=0.000; h16=0.000,h12=0.000; h13=0.000; h15=0.000; h16=0.000
TP_0676,-0.021103,-0.015850,3,4,0,0,10,-17,stable_neutral,"Core-hour delta is consistently near zero; useful as a neutral comparator, not a cooling anchor.",0,0,0,8,0,0,0,0,no,h12=17; h13=16; h15=17; h16=17,h12=17; h13=19; h15=19; h16=16,h12=-0.014; h13=-0.029; h15=-0.014; h16=-0.028,h12=-0.024; h13=-0.002; h15=-0.008; h16=-0.032
