run_id,cell_id,scenario,hour,tmrt_output_path,n_pixels,valid_pixel_count,tmrt_mean_c,tmrt_p50_c,tmrt_p75_c,tmrt_p90_c,tmrt_p95_c,tmrt_max_c,pct_pixels_tmrt_ge_40,pct_pixels_tmrt_ge_45,pct_pixels_tmrt_ge_50,pct_pixels_tmrt_ge_55
v12_n24_overhead_as_canopy_TP_0676_h15,TP_0676,overhead_as_canopy,15,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n24_tiles\TP_0676\solweig_overhead_as_canopy\solweig_outputs_h15\Tmrt_average.tif,2500,2500,45.5583381652832,40.27106857299805,55.156036376953125,59.42240905761719,60.45937728881836,60.842628479003906,52.080000000000005,42.480000000000004,42.44,26.0
v12_n24_overhead_as_canopy_TP_0676_h16,TP_0676,overhead_as_canopy,16,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n24_tiles\TP_0676\solweig_overhead_as_canopy\solweig_outputs_h16\Tmrt_average.tif,2500,2500,39.49730682373047,36.00061798095703,45.51223373413086,50.25367736816406,51.41358947753906,51.85166549682617,33.08,26.96,12.08,0.0
v12_n24_base_TP_0773_h10,TP_0773,base,10,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n24_tiles\TP_0773\solweig_base\solweig_outputs_h10\Tmrt_average.tif,2500,2500,35.096160888671875,32.94391632080078,33.93756103515625,43.53472137451172,46.63153839111328,46.63153839111328,18.16,6.2,0.0,0.0
v12_n24_base_TP_0773_h12,TP_0773,base,12,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n24_tiles\TP_0773\solweig_base\solweig_outputs_h12\Tmrt_average.tif,2500,2500,42.14907455444336,36.16899108886719,41.79146957397461,60.69436264038086,62.34486389160156,62.34486389160156,28.04,24.32,24.08,24.08
v12_n24_base_TP_0773_h13,TP_0773,base,13,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n24_tiles\TP_0773\solweig_base\solweig_outputs_h13\Tmrt_average.tif,2500,2500,42.398529052734375,36.24467468261719,55.555973052978516,60.66888427734375,62.62262725830078,62.62262725830078,29.520000000000003,25.240000000000002,25.080000000000002,25.080000000000002
v12_n24_base_TP_0773_h15,TP_0773,base,15,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n24_tiles\TP_0773\solweig_base\solweig_outputs_h15\Tmrt_average.tif,2500,2500,41.34018325805664,36.00315856933594,41.035179138183594,57.8394775390625,60.86521911621094,60.86521911621094,26.040000000000003,24.2,24.2,20.76
v12_n24_base_TP_0773_h16,TP_0773,base,16,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n24_tiles\TP_0773\solweig_base\solweig_outputs_h16\Tmrt_average.tif,2500,2500,37.91629409790039,34.557716369628906,37.097694396972656,48.59166717529297,51.878787994384766,51.878787994384766,23.0,22.6,6.2,0.0
v12_n24_overhead_as_canopy_TP_0773_h10,TP_0773,overhead_as_canopy,10,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n24_tiles\TP_0773\solweig_overhead_as_canopy\solweig_outputs_h10\Tmrt_average.tif,2500,2500,35.07929992675781,32.94248962402344,33.91455841064453,43.33869552612305,46.63153839111328,46.63153839111328,18.16,6.2,0.0,0.0
v12_n24_overhead_as_canopy_TP_0773_h12,TP_0773,overhead_as_canopy,12,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n24_tiles\TP_0773\solweig_overhead_as_canopy\solweig_outputs_h12\Tmrt_average.tif,2500,2500,42.10809326171875,36.15985107421875,41.69425964355469,60.44285202026367,62.34486389160156,62.34486389160156,27.72,24.32,24.08,24.08
v12_n24_overhead_as_canopy_TP_0773_h13,TP_0773,overhead_as_canopy,13,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n24_tiles\TP_0773\solweig_overhead_as_canopy\solweig_outputs_h13\Tmrt_average.tif,2500,2500,42.35115051269531,36.23060607910156,55.559139251708984,60.66888427734375,62.62262725830078,62.62262725830078,29.2,25.240000000000002,25.080000000000002,25.080000000000002
v12_n24_overhead_as_canopy_TP_0773_h15,TP_0773,overhead_as_canopy,15,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n24_tiles\TP_0773\solweig_overhead_as_canopy\solweig_outputs_h15\Tmrt_average.tif,2500,2500,41.31755065917969,35.999969482421875,40.97722625732422,57.76166534423828,60.86521911621094,60.86521911621094,25.96,24.2,24.2,20.560000000000002
v12_n24_overhead_as_canopy_TP_0773_h16,TP_0773,overhead_as_canopy,16,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n24_tiles\TP_0773\solweig_overhead_as_canopy\solweig_outputs_h16\Tmrt_average.tif,2500,2500,37.90126419067383,34.557716369628906,37.045738220214844,48.52738952636719,51.878787994384766,51.878787994384766,23.0,22.56,6.2,0.0
v12_n24_base_TP_0835_h10,TP_0835,base,10,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n24_tiles\TP_0835\solweig_base\solweig_outputs_h10\Tmrt_average.tif,2500,2500,32.7736701965332,32.77602767944336,32.77736282348633,32.778629302978516,32.77884292602539,32.78053283691406,0.0,0.0,0.0,0.0
v12_n24_base_TP_0835_h12,TP_0835,base,12,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n24_tiles\TP_0835\solweig_base\solweig_outputs_h12\Tmrt_average.tif,2500,2500,35.48797607421875,35.49116516113281,35.491798400878906,35.49324035644531,35.493492126464844,35.49665832519531,0.0,0.0,0.0,0.0
v12_n24_base_TP_0835_h13,TP_0835,base,13,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n24_tiles\TP_0835\solweig_base\solweig_outputs_h13\Tmrt_average.tif,2500,2500,35.59840774536133,35.602169036865234,35.60281753540039,35.60452651977539,35.604820251464844,35.63786315917969,0.0,0.0,0.0,0.0
v12_n24_base_TP_0835_h15,TP_0835,base,15,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n24_tiles\TP_0835\solweig_base\solweig_outputs_h15\Tmrt_average.tif,2500,2500,35.520782470703125,35.524375915527344,35.52627182006836,35.5282096862793,35.52853775024414,35.53129959106445,0.0,0.0,0.0,0.0
v12_n24_base_TP_0835_h16,TP_0835,base,16,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n24_tiles\TP_0835\solweig_base\solweig_outputs_h16\Tmrt_average.tif,2500,2500,34.296932220458984,34.29982376098633,34.301605224609375,34.30322265625,34.30349349975586,34.305545806884766,0.0,0.0,0.0,0.0
v12_n24_overhead_as_canopy_TP_0835_h10,TP_0835,overhead_as_canopy,10,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n24_tiles\TP_0835\solweig_overhead_as_canopy\solweig_outputs_h10\Tmrt_average.tif,2500,2500,32.7736701965332,32.77602767944336,32.77736282348633,32.778629302978516,32.77884292602539,32.78053283691406,0.0,0.0,0.0,0.0
v12_n24_overhead_as_canopy_TP_0835_h12,TP_0835,overhead_as_canopy,12,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n24_tiles\TP_0835\solweig_overhead_as_canopy\solweig_outputs_h12\Tmrt_average.tif,2500,2500,35.48797607421875,35.49116516113281,35.491798400878906,35.49324035644531,35.493492126464844,35.49665832519531,0.0,0.0,0.0,0.0
v12_n24_overhead_as_canopy_TP_0835_h13,TP_0835,overhead_as_canopy,13,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n24_tiles\TP_0835\solweig_overhead_as_canopy\solweig_outputs_h13\Tmrt_average.tif,2500,2500,35.59840774536133,35.602169036865234,35.60281753540039,35.60452651977539,35.604820251464844,35.63786315917969,0.0,0.0,0.0,0.0
v12_n24_overhead_as_canopy_TP_0835_h15,TP_0835,overhead_as_canopy,15,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n24_tiles\TP_0835\solweig_overhead_as_canopy\solweig_outputs_h15\Tmrt_average.tif,2500,2500,35.520782470703125,35.524375915527344,35.52627182006836,35.5282096862793,35.52853775024414,35.53129959106445,0.0,0.0,0.0,0.0
v12_n24_overhead_as_canopy_TP_0835_h16,TP_0835,overhead_as_canopy,16,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n24_tiles\TP_0835\solweig_overhead_as_canopy\solweig_outputs_h16\Tmrt_average.tif,2500,2500,34.296932220458984,34.29982376098633,34.301605224609375,34.30322265625,34.30349349975586,34.305545806884766,0.0,0.0,0.0,0.0
