prediction_source,dataset_label,target_col,ablation_model,wbgt_bin,n,mean_official,mean_predicted,mean_residual_official_minus_pred,MAE,bias,underprediction_rate_residual_gt_0,severe_underprediction_count_residual_ge_1_0,severe_underprediction_count_residual_ge_1_5
loso_sprint2a_oof,hourly_mean,official_wbgt_c_mean,L1_full_dynamic,30-31,789,30.480111956062526,29.379047102083106,1.1010648539794197,1.1850389010438664,1.1010648539794197,0.8783269961977186,381,263
loso_sprint2a_oof,hourly_mean,official_wbgt_c_mean,L1_full_dynamic,31-32,462,31.429761904761904,29.850925695194015,1.578836209567891,1.5881423639121495,1.578836209567891,0.9718614718614719,334,207
loso_sprint2a_oof,hourly_mean,official_wbgt_c_mean,L1_full_dynamic,32-33,131,32.38199745547073,30.066382509840807,2.3156149456299318,2.3156149456299318,2.3156149456299318,1.0,123,103
loso_sprint2a_oof,hourly_mean,official_wbgt_c_mean,L1_full_dynamic,>=33,30,33.333333333333336,30.113956061511065,3.2193772718222706,3.2193772718222706,3.2193772718222706,1.0,30,30
loso_sprint2a_oof,hourly_mean,official_wbgt_c_mean,L1_proxy_only,<29,8320,26.086908052884613,26.55181042822913,-0.4649023753445106,0.9550903043434625,-0.4649023753445106,0.32596153846153847,768,380
loso_sprint2a_oof,hourly_mean,official_wbgt_c_mean,L1_proxy_only,29-30,741,29.513079172289697,28.403247264108252,1.109831908181447,1.168912978144389,1.109831908181447,0.9163292847503374,404,217
loso_sprint2a_oof,hourly_mean,official_wbgt_c_mean,L1_proxy_only,30-31,789,30.480111956062526,28.694940965632092,1.7851709904304331,1.7883265757492877,1.7851709904304331,0.9898605830164765,667,511
loso_sprint2a_oof,hourly_mean,official_wbgt_c_mean,L1_proxy_only,31-32,462,31.429761904761904,29.05287404986968,2.376887854892226,2.376887854892226,2.376887854892226,1.0,440,405
loso_sprint2a_oof,hourly_mean,official_wbgt_c_mean,L1_proxy_only,32-33,131,32.38199745547073,29.194656207578635,3.1873412478921046,3.1873412478921046,3.1873412478921046,1.0,131,128
loso_sprint2a_oof,hourly_mean,official_wbgt_c_mean,L1_proxy_only,>=33,30,33.333333333333336,29.184255937992095,4.14907739534124,4.14907739534124,4.14907739534124,1.0,30,30
loso_sprint2a_oof,hourly_mean,official_wbgt_c_mean,L1_proxy_radiation,<29,8320,26.086908052884613,26.42229872840318,-0.33539067551856255,0.8097134028910355,-0.33539067551856255,0.3996394230769231,580,209
loso_sprint2a_oof,hourly_mean,official_wbgt_c_mean,L1_proxy_radiation,29-30,741,29.513079172289697,28.745671295527227,0.7674078767624756,1.119648979015868,0.7674078767624756,0.7233468286099866,309,204
loso_sprint2a_oof,hourly_mean,official_wbgt_c_mean,L1_proxy_radiation,30-31,789,30.480111956062526,29.2038566219047,1.276255334157826,1.36190255823932,1.276255334157826,0.8783269961977186,439,319
loso_sprint2a_oof,hourly_mean,official_wbgt_c_mean,L1_proxy_radiation,31-32,462,31.429761904761904,29.703700730115514,1.7260611746463919,1.7315767403885156,1.7260611746463919,0.9826839826839827,354,257
loso_sprint2a_oof,hourly_mean,official_wbgt_c_mean,L1_proxy_radiation,32-33,131,32.38199745547073,29.946523908221803,2.4354735472489355,2.4354735472489355,2.4354735472489355,1.0,127,115
loso_sprint2a_oof,hourly_mean,official_wbgt_c_mean,L1_proxy_radiation,>=33,30,33.333333333333336,30.10616429827642,3.227169035056918,3.227169035056918,3.227169035056918,1.0,30,30
loso_sprint2a_oof,hourly_mean,official_wbgt_c_mean,L1_proxy_weather,<29,8320,26.086908052884613,26.503686744983675,-0.4167786920990592,0.9209196249219824,-0.4167786920990592,0.353125,753,309
loso_sprint2a_oof,hourly_mean,official_wbgt_c_mean,L1_proxy_weather,29-30,741,29.513079172289697,28.60537473580985,0.907704436479846,0.9564530887578241,0.907704436479846,0.8987854251012146,295,157
loso_sprint2a_oof,hourly_mean,official_wbgt_c_mean,L1_proxy_weather,30-31,789,30.480111956062526,28.916267277957008,1.5638446781055193,1.5656778376314193,1.5638446781055193,0.9961977186311787,625,371
loso_sprint2a_oof,hourly_mean,official_wbgt_c_mean,L1_proxy_weather,31-32,462,31.429761904761904,29.220257160907863,2.2095047438540414,2.2095047438540414,2.2095047438540414,1.0,455,414
loso_sprint2a_oof,hourly_mean,official_wbgt_c_mean,L1_proxy_weather,32-33,131,32.38199745547073,29.340415835282148,3.04158162018859,3.04158162018859,3.04158162018859,1.0,131,131
loso_sprint2a_oof,hourly_mean,official_wbgt_c_mean,L1_proxy_weather,>=33,30,33.333333333333336,29.286023942388578,4.047309390944753,4.047309390944753,4.047309390944753,1.0,30,30
loso_sprint2a_oof,hourly_mean,official_wbgt_c_mean,M4_like_inertia_ridge,<29,8320,26.086908052884613,26.383048131665195,-0.2961400787805809,0.7711896973533323,-0.2961400787805809,0.4155048076923077,569,163
loso_sprint2a_oof,hourly_mean,official_wbgt_c_mean,M4_like_inertia_ridge,29-30,741,29.513079172289697,28.951689796718327,0.561389375571371,0.9426138193727194,0.561389375571371,0.6815114709851552,261,139
loso_sprint2a_oof,hourly_mean,official_wbgt_c_mean,M4_like_inertia_ridge,30-31,789,30.480111956062526,29.38011811961356,1.0999938364489665,1.178331087787902,1.0999938364489665,0.8745247148288974,370,260
loso_sprint2a_oof,hourly_mean,official_wbgt_c_mean,M4_like_inertia_ridge,31-32,462,31.429761904761904,29.830279673814942,1.5994822309469647,1.6048365531173037,1.5994822309469647,0.9805194805194806,333,215
loso_sprint2a_oof,hourly_mean,official_wbgt_c_mean,M4_like_inertia_ridge,32-33,131,32.38199745547073,30.036378256590897,2.3456191988798425,2.3456191988798425,2.3456191988798425,1.0,125,103
loso_sprint2a_oof,hourly_mean,official_wbgt_c_mean,M4_like_inertia_ridge,>=33,30,33.333333333333336,30.080628677926104,3.2527046554072303,3.2527046554072303,3.2527046554072303,1.0,30,30
loso_sprint2a_oof,hourly_mean,official_wbgt_c_mean,M7_like_compact_weather_ridge,<29,8320,26.086908052884613,26.386963787615016,-0.30005573473040226,0.7946135458115009,-0.30005573473040226,0.41670673076923076,624,219
loso_sprint2a_oof,hourly_mean,official_wbgt_c_mean,M7_like_compact_weather_ridge,29-30,741,29.513079172289697,28.936494405039298,0.576584767250398,0.9112406075504914,0.576584767250398,0.6923076923076923,247,128
loso_sprint2a_oof,hourly_mean,official_wbgt_c_mean,M7_like_compact_weather_ridge,30-31,789,30.480111956062526,29.37368796673784,1.106423989324686,1.17131728340752,1.106423989324686,0.9024081115335868,394,251
loso_sprint2a_oof,hourly_mean,official_wbgt_c_mean,M7_like_compact_weather_ridge,31-32,462,31.429761904761904,29.817619295080828,1.612142609681076,1.6151312538909057,1.612142609681076,0.9805194805194806,348,217
loso_sprint2a_oof,hourly_mean,official_wbgt_c_mean,M7_like_compact_weather_ridge,32-33,131,32.38199745547073,29.982488557990894,2.3995088974798446,2.3995088974798446,2.3995088974798446,1.0,126,110
loso_sprint2a_oof,hourly_mean,official_wbgt_c_mean,M7_like_compact_weather_ridge,>=33,30,33.333333333333336,30.001374600147837,3.3319587331854987,3.3319587331854987,3.3319587331854987,1.0,30,30
