prediction_source,dataset_label,target_col,ablation_model,station_id,n,MAE,bias,official_ge_31_count,official_ge_33_count,fixed_31_recall,fixed_31_F1,residual_p90,residual_mean_high_tail
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_proxy_weather,S125,388,1.262963168049147,0.6317791538914891,52,1,0.038461538461538464,0.07272727272727274,2.4083833042243965,1.9867609568409463
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_proxy_weather,S187,388,1.2584095469495602,-0.16185329681284638,47,1,0.0,,2.002493534102004,2.0677746582824184
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_proxy_weather,S150,388,1.2275616220247483,-0.315470801469938,34,1,0.0,,1.8003371262814971,2.0251568029167366
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_proxy_weather,S149,388,1.2128530205321681,-0.6173338072953524,31,0,0.03225806451612903,0.0625,1.2230149813097204,1.6831954617672493
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_proxy_weather,S151,388,1.1915541847007,-0.19792992665584347,58,3,0.0,,1.8497858871912136,2.0704423938132823
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_proxy_weather,S143,388,1.1857522979739363,0.27677242364378174,54,6,0.018518518518518517,0.03636363636363636,2.1566106547892425,1.8770192534820527
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_proxy_weather,S127,388,1.1811363574314997,0.10520681528295867,56,2,0.0,,2.118197535525194,2.230901021265306
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_proxy_weather,S141,388,1.1649064634849424,0.323098942861921,53,6,0.018867924528301886,0.037037037037037035,2.4666110590683603,2.395154747988914
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_proxy_weather,S145,388,1.1507139492721223,0.17074749568293102,48,3,0.0,,2.0790475944989857,2.069497747199982
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_proxy_weather,S148,388,1.1286811945303852,-0.6096306002796705,21,0,0.0,,1.0676832201702355,1.5192991093871504
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_proxy_weather,S144,388,1.1077115485438958,-0.05989975387697272,44,5,0.0,,1.8342947021710736,2.2544924004972384
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_proxy_weather,S180,388,1.0863531256737449,-0.0015703361361718707,47,1,0.02127659574468085,0.04166666666666667,1.684340218533545,1.706438592264824
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_proxy_weather,S146,388,1.0513014814732848,-0.2706920035504676,29,0,0.0,,1.3040642034340117,1.5513922683988397
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_proxy_weather,S184,388,1.0499013714731276,-0.01504881242700196,36,2,0.027777777777777776,0.05405405405405406,1.6244234552338295,2.0190324868859317
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_proxy_weather,S126,388,1.0248338644549475,0.048321395827129805,38,1,0.02631578947368421,0.05128205128205127,1.8521330404370047,1.9493088067850162
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_proxy_weather,S140,388,1.023481305196516,-0.13011072628435857,27,0,0.037037037037037035,0.07142857142857142,1.4338831892129562,1.220543251893442
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_proxy_weather,S153,388,1.0173275445509444,0.12351673959530932,37,0,0.02702702702702703,0.052631578947368425,1.617096330249532,1.6250585231103085
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_proxy_weather,S130,388,1.0148308441604228,0.18738203364053851,32,0,0.0,,1.8749518297203493,1.782085486041991
