cell_id,sunlit_hot_pocket_proxy_frac,open_high_svf_low_shade_frac,proxy_method,feature_version
TP_0278,0.029710039250392353,0.029710039250392353,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0285,0.25720279969165327,0.25720279969165327,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0286,0.37375621708128764,0.37375621708128764,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0293,0.09181432878259031,0.09181432878259031,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0300,0.052506246232268405,0.052506246232268405,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0301,0.04605371412685551,0.04605371412685551,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0313,0.048365422043552084,0.048365422043552084,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0318,0.10888308119015276,0.10888308119015276,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0319,0.07375304540041937,0.07375304540041937,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0320,0.1907522494459261,0.1907522494459261,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0326,0.09085425811479927,0.09085425811479927,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0337,0.06521833774527401,0.06521833774527401,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0344,0.3340409571698785,0.3340409571698785,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0346,0.08804245909103932,0.08804245909103932,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0349,0.7267978630299304,0.7267978630299304,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0355,0.13259523152852248,0.13259523152852248,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0359,0.13199798844122115,0.13199798844122115,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0361,0.13321411346666664,0.13321411346666664,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0365,0.1421296140158234,0.1421296140158234,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0366,0.783551307720765,0.783551307720765,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0371,0.027725624870501432,0.027725624870501432,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0372,0.05079706582512643,0.05079706582512643,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0373,0.3961716183622989,0.3961716183622989,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0378,0.6817952916833664,0.6817952916833664,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0379,0.09886363730423484,0.09886363730423484,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0380,0.001788492858209879,0.001788492858209879,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0381,0.15833286207789266,0.15833286207789266,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0383,0.03948819653784355,0.03948819653784355,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0403,0.21084813394514848,0.21084813394514848,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0406,0.10109418131444026,0.10109418131444026,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0407,0.10766438329384476,0.10766438329384476,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0409,0.03976218281789222,0.03976218281789222,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0410,0.09123048907917808,0.09123048907917808,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0412,0.1075147846916275,0.1075147846916275,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0418,0.21623453146124189,0.21623453146124189,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0430,0.1875551664783706,0.1875551664783706,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0431,0.31890950415991726,0.31890950415991726,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
