cell_id,tree_building_overlap_proxy,tree_near_tall_building_frac,interaction_method,feature_version
TP_0372,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0373,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0378,0.0007854764571786075,0.0017150140986519201,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0379,0.018485031055879095,0.03645962732919253,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0380,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0381,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0383,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0403,0.016969292286197073,0.14808850280924815,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0406,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0407,0.000351656249999461,0.00025781249999998,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0409,0.0001408639950013272,0.0010936645574564,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0410,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0412,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0418,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0430,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0431,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0433,0.013393796390358302,0.13287496418991068,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0438,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0448,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0454,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0458,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0460,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0464,0.18695015624876551,0.10894531249999997,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0465,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0467,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0475,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0489,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0492,0.2309220673300627,0.10631771055799323,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0495,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0498,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0519,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0523,0.005153185734664321,0.02531586878405001,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0538,4.6926332957380245e-05,0.10108714373865094,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0542,0.0008643988816346912,0.015663831416921348,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0543,4.0573437923165225e-05,0.001690559913443325,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0544,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0546,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0552,0.0009059021132003792,0.2038279754697082,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0554,0.02953647123146945,0.11833522128041875,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0555,0.0010033839751898016,0.0006752247477721401,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0556,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0560,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0564,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0565,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0568,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0569,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0570,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
