cell_id,overhead_patch_count,overhead_total_area_m2,overhead_mean_patch_area_m2,overhead_edge_density,overhead_total_area_proxy,overhead_shape_source_status,feature_version
TP_0002,0.0,0.0,,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0003,1.0,70.29872248011179,70.29872248011179,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0005,2.0,137.18399839674976,68.59199919837488,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0006,0.0,0.0,,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0010,0.0,0.0,,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0018,4.0,441.1559845555251,110.28899613888127,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0020,0.0,0.0,,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0023,3.0,410.1454020185628,136.71513400618758,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0024,0.0,0.0,,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0028,0.0,0.0,,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0037,2.0,2178.8816348543,1089.44081742715,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0040,0.0,0.0,,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0041,0.0,0.0,,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0042,1.0,60.70500904815108,60.70500904815108,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0045,4.0,353.19536303519925,88.29884075879981,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0049,0.0,0.0,,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0050,2.0,205.71959393540976,102.85979696770488,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0052,5.0,583.9299510953718,116.78599021907436,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0053,5.0,306.2968601409727,61.259372028194534,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0056,0.0,0.0,,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0059,3.0,1098.7556470927238,366.2518823642413,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0060,0.0,0.0,,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0063,2.0,149.80654812379348,74.90327406189674,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0065,0.0,0.0,,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0066,1.0,144.6622946066724,144.6622946066724,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0067,0.0,0.0,,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0074,8.0,629.324159903386,78.66551998792325,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0081,2.0,126.77320155785308,63.38660077892654,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0082,8.0,868.9689518479482,108.62111898099353,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0083,4.0,355.844812608971,88.96120315224275,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0085,0.0,0.0,,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0088,7.0,7324.81831223162,1046.4026160330886,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0089,6.0,3765.952710493418,627.6587850822364,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0090,2.0,748.4908672022659,374.24543360113296,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0097,0.0,0.0,,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0098,5.0,346.7806013830954,69.35612027661908,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0099,5.0,588.7282591079436,117.74565182158872,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0102,6.0,1294.1877417188018,215.69795695313363,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
