candidate_id,dataset_label,target_col,raw_score_col,validation_scheme,calibration_method,n,MAE,RMSE,bias,R2,p50_abs_error,p90_abs_error,p95_abs_error,high_tail_bias_official_ge31,high_tail_MAE_official_ge31
k0.0080,hourly_mean,official_wbgt_c_mean,candidate_mean,LOSO,loso_train_bias_corrected,10473,1.125247649584224,1.4454056719318846,1.907579690579773e-06,0.5218504503636932,0.9055615092475939,2.442211130908083,2.9179847269716834,-2.980232679978008,2.980232679978008
k0.0080,hourly_mean,official_wbgt_c_mean,candidate_mean,future_block_last_date,future_block_affine,567,1.3891829769709803,1.7721758414760622,0.09555315431394737,0.3443286345300741,1.1200243537063876,3.096952601141965,3.591998966634628,-2.380750747644179,2.380750747644179
k0.0080,hourly_mean,official_wbgt_c_mean,candidate_mean,future_block_last_date,future_block_train_bias_corrected,567,1.403478999589379,1.7538639720818094,0.08826503005243957,0.35780871508941736,1.1581847400702792,2.9604316198458087,3.3055016578924055,-2.9050661664118493,2.9050661664118493
reconstructed_v09_proxy,hourly_max,official_wbgt_c_max,candidate_max,LOSO,loso_affine,10473,1.2606893357967248,1.5875654830808308,-0.0003014613174458687,0.5310945437476289,1.0658163152622606,2.5676183093600216,3.141067769618469,-2.349399642907257,2.355577897982428
reconstructed_v09_proxy,hourly_max,official_wbgt_c_max,candidate_max,LOSO,loso_train_bias_corrected,10473,1.3439764960734277,1.6751117565555969,1.466454080901094e-06,0.47795304871000477,1.127431423120104,2.7554878855103024,3.2607585606629383,-3.052426346934717,3.052426346934717
reconstructed_v09_proxy,hourly_max,official_wbgt_c_max,candidate_max,future_block_last_date,future_block_affine,567,1.552906538291873,1.9511424228037837,0.024813861322427418,0.35440956683407376,1.2841405335959841,3.2674813732723416,3.81762522175317,-2.6635120505564274,2.6635120505564274
reconstructed_v09_proxy,hourly_max,official_wbgt_c_max,candidate_max,future_block_last_date,future_block_train_bias_corrected,567,1.6194363902146003,1.963746078934804,0.020601609301918015,0.3460420790693226,1.395918694420125,3.256466802462494,3.7125949795343094,-3.2781900728898465,3.2781900728898465
reconstructed_v09_proxy,hourly_mean,official_wbgt_c_mean,candidate_mean,LOSO,loso_affine,10473,1.1240863422916818,1.4334373025052494,-0.0003052388453459459,0.5297360950566269,0.9242528004468653,2.364835215080535,2.850905644501551,-2.595997937941198,2.595997937941198
reconstructed_v09_proxy,hourly_mean,official_wbgt_c_mean,candidate_mean,LOSO,loso_train_bias_corrected,10473,1.1573444569256397,1.479326772784265,1.876717484686674e-06,0.49914446660774103,0.9363026429803831,2.4899758412023907,2.9646901878975274,-3.1154469929932715,3.1154469929932715
reconstructed_v09_proxy,hourly_mean,official_wbgt_c_mean,candidate_mean,future_block_last_date,future_block_affine,567,1.431969181225671,1.8162907846014478,0.0573841865332115,0.31127895680864104,1.1739389299380285,3.0554863946798396,3.604301027172492,-2.6251077998926577,2.6251077998926577
reconstructed_v09_proxy,hourly_mean,official_wbgt_c_mean,candidate_mean,future_block_last_date,future_block_train_bias_corrected,567,1.4455473818430413,1.8006644594303276,0.05871484736405934,0.32307870082913315,1.191118874101619,3.056623754243775,3.4594849590774124,-3.1586159891687107,3.1586159891687107
