candidate_id,dataset_label,target_col,score_col,diagnostic_role,event_target,official_event_threshold_c,fixed_score_threshold_c,n,official_positive_count,predicted_positive_count,TP,FP,TN,FN,precision,recall,F1,best_F1_threshold,best_F1_precision,best_F1_recall,best_F1,threshold_offset_ge31,threshold_offset_ge33
k0.0065,hourly_mean,official_wbgt_c_mean,candidate_mean,main,ge31,31.0,31.0,10473,623,0,0,0,9850,623,,0.0,,27.7,0.3276010318142734,0.6115569823434992,0.4266517357222844,-3.3000000000000007,
k0.0065,hourly_mean,official_wbgt_c_mean,candidate_mean,main,ge33,33.0,33.0,10473,30,0,0,0,10443,30,,0.0,,28.8,0.047619047619047616,0.1,0.06451612903225806,,-4.199999999999999
k0.0065,hourly_max,official_wbgt_c_max,candidate_max,main,ge31,31.0,31.0,10473,1196,0,0,0,9277,1196,,0.0,,27.5,0.4818501170960187,0.6881270903010034,0.5668044077134986,-3.5,
k0.0065,hourly_max,official_wbgt_c_max,candidate_max,main,ge33,33.0,33.0,10473,119,0,0,0,10354,119,,0.0,,28.4,0.1306122448979592,0.2689075630252101,0.17582417582417584,,-4.600000000000001
k0.0065,hourly_max,official_wbgt_c_max,candidate_p90,diagnostic_p90_score,ge31,31.0,31.0,10473,1196,0,0,0,9277,1196,,0.0,,27.5,0.4852245862884161,0.6864548494983278,0.5685595567867036,-3.5,
k0.0065,hourly_max,official_wbgt_c_max,candidate_p90,diagnostic_p90_score,ge33,33.0,33.0,10473,119,0,0,0,10354,119,,0.0,,28.4,0.1306122448979592,0.2689075630252101,0.17582417582417584,,-4.600000000000001
k0.0080,hourly_mean,official_wbgt_c_mean,candidate_mean,main,ge31,31.0,31.0,10473,623,0,0,0,9850,623,,0.0,,27.7,0.319665907365224,0.6757624398073836,0.43402061855670104,-3.3000000000000007,
k0.0080,hourly_mean,official_wbgt_c_mean,candidate_mean,main,ge33,33.0,33.0,10473,30,0,0,0,10443,30,,0.0,,28.9,0.046153846153846156,0.1,0.06315789473684211,,-4.100000000000001
k0.0080,hourly_max,official_wbgt_c_max,candidate_max,main,ge31,31.0,31.0,10473,1196,0,0,0,9277,1196,,0.0,,27.6,0.49595015576323986,0.6655518394648829,0.5683684398429132,-3.3999999999999986,
k0.0080,hourly_max,official_wbgt_c_max,candidate_max,main,ge33,33.0,33.0,10473,119,0,0,0,10354,119,,0.0,,28.5,0.13008130081300814,0.2689075630252101,0.1753424657534247,,-4.5
k0.0080,hourly_max,official_wbgt_c_max,candidate_p90,diagnostic_p90_score,ge31,31.0,31.0,10473,1196,0,0,0,9277,1196,,0.0,,27.6,0.49843063402385435,0.6638795986622074,0.5693797059878092,-3.3999999999999986,
k0.0080,hourly_max,official_wbgt_c_max,candidate_p90,diagnostic_p90_score,ge33,33.0,33.0,10473,119,0,0,0,10354,119,,0.0,,28.5,0.13008130081300814,0.2689075630252101,0.1753424657534247,,-4.5
reconstructed_v09_proxy,hourly_mean,official_wbgt_c_mean,candidate_mean,main,ge31,31.0,31.0,10473,623,0,0,0,9850,623,,0.0,,27.6,0.32558139534883723,0.6067415730337079,0.42376681614349776,-3.3999999999999986,
reconstructed_v09_proxy,hourly_mean,official_wbgt_c_mean,candidate_mean,main,ge33,33.0,33.0,10473,30,0,0,0,10443,30,,0.0,,28.2,0.03137254901960784,0.26666666666666666,0.05614035087719298,,-4.800000000000001
reconstructed_v09_proxy,hourly_max,official_wbgt_c_max,candidate_max,main,ge31,31.0,31.0,10473,1196,0,0,0,9277,1196,,0.0,,27.4,0.47596988998262885,0.6872909698996655,0.5624358535750941,-3.6000000000000014,
reconstructed_v09_proxy,hourly_max,official_wbgt_c_max,candidate_max,main,ge33,33.0,33.0,10473,119,0,0,0,10354,119,,0.0,,28.2,0.12056737588652482,0.2857142857142857,0.16957605985037402,,-4.800000000000001
reconstructed_v09_proxy,hourly_max,official_wbgt_c_max,candidate_p90,diagnostic_p90_score,ge31,31.0,31.0,10473,1196,0,0,0,9277,1196,,0.0,,27.4,0.47866744593804794,0.6847826086956522,0.563467492260062,-3.6000000000000014,
reconstructed_v09_proxy,hourly_max,official_wbgt_c_max,candidate_p90,diagnostic_p90_score,ge33,33.0,33.0,10473,119,0,0,0,10354,119,,0.0,,28.2,0.12,0.2773109243697479,0.16751269035532995,,-4.800000000000001
