candidate_id,dataset_label,target_col,raw_score_col,validation_scheme,calibration_method,event_target,official_event_threshold_c,fixed_score_threshold_c,n,official_positive_count,predicted_positive_count,TP,FP,TN,FN,precision,recall,F1,best_F1_threshold,best_F1_precision,best_F1_recall,best_F1,threshold_offset_ge31,threshold_offset_ge33
k0.0080,hourly_max,official_wbgt_c_max,candidate_max,LOSO,loso_affine,ge33,33.0,33.0,10473,119,0,0,0,10354,119,,0.0,,30.5,0.1245136186770428,0.2689075630252101,0.1702127659574468,,-2.5
k0.0080,hourly_max,official_wbgt_c_max,candidate_max,LOSO,loso_train_bias_corrected,ge31,31.0,31.0,10473,1196,0,0,0,9277,1196,,0.0,,28.7,0.4943820224719101,0.6622073578595318,0.5661186561829878,-2.3000000000000007,
k0.0080,hourly_max,official_wbgt_c_max,candidate_max,LOSO,loso_train_bias_corrected,ge33,33.0,33.0,10473,119,0,0,0,10354,119,,0.0,,29.6,0.13008130081300814,0.2689075630252101,0.1753424657534247,,-3.3999999999999986
k0.0080,hourly_max,official_wbgt_c_max,candidate_max,future_block_last_date,future_block_affine,ge31,31.0,31.0,567,83,2,1,1,483,82,0.5,0.012048192771084338,0.023529411764705882,28.5,0.42105263157894735,0.8674698795180723,0.5669291338582677,-2.5,
k0.0080,hourly_max,official_wbgt_c_max,candidate_max,future_block_last_date,future_block_affine,ge33,33.0,33.0,567,8,0,0,0,559,8,,0.0,,30.5,0.23076923076923078,0.375,0.2857142857142857,,-2.5
k0.0080,hourly_max,official_wbgt_c_max,candidate_max,future_block_last_date,future_block_train_bias_corrected,ge31,31.0,31.0,567,83,0,0,0,484,83,,0.0,,28.0,0.4186046511627907,0.8674698795180723,0.5647058823529412,-3.0,
k0.0080,hourly_max,official_wbgt_c_max,candidate_max,future_block_last_date,future_block_train_bias_corrected,ge33,33.0,33.0,567,8,0,0,0,559,8,,0.0,,30.0,1.0,0.125,0.2222222222222222,,-3.0
k0.0080,hourly_mean,official_wbgt_c_mean,candidate_mean,LOSO,loso_affine,ge31,31.0,31.0,10473,623,6,3,3,9847,620,0.5,0.004815409309791332,0.009538950715421303,28.9,0.31329827197595794,0.6693418940609952,0.4268167860798362,-2.1000000000000014,
k0.0080,hourly_mean,official_wbgt_c_mean,candidate_mean,LOSO,loso_affine,ge33,33.0,33.0,10473,30,0,0,0,10443,30,,0.0,,29.9,0.03524229074889868,0.26666666666666666,0.062256809338521416,,-3.1000000000000014
k0.0080,hourly_mean,official_wbgt_c_mean,candidate_mean,LOSO,loso_train_bias_corrected,ge31,31.0,31.0,10473,623,0,0,0,9850,623,,0.0,,28.5,0.3178353658536585,0.6693418940609952,0.43100775193798446,-2.5,
k0.0080,hourly_mean,official_wbgt_c_mean,candidate_mean,LOSO,loso_train_bias_corrected,ge33,33.0,33.0,10473,30,0,0,0,10443,30,,0.0,,29.3,0.03587443946188341,0.26666666666666666,0.06324110671936758,,-3.6999999999999993
k0.0080,hourly_mean,official_wbgt_c_mean,candidate_mean,future_block_last_date,future_block_affine,ge31,31.0,31.0,567,48,0,0,0,519,48,,0.0,,29.6,0.8,0.4166666666666667,0.547945205479452,-1.3999999999999986,
k0.0080,hourly_mean,official_wbgt_c_mean,candidate_mean,future_block_last_date,future_block_affine,ge33,33.0,33.0,567,2,0,0,0,565,2,,0.0,,29.9,0.1,0.5,0.16666666666666669,,-3.1000000000000014
k0.0080,hourly_mean,official_wbgt_c_mean,candidate_mean,future_block_last_date,future_block_train_bias_corrected,ge31,31.0,31.0,567,48,0,0,0,519,48,,0.0,,29.0,0.7692307692307693,0.4166666666666667,0.5405405405405406,-2.0,
k0.0080,hourly_mean,official_wbgt_c_mean,candidate_mean,future_block_last_date,future_block_train_bias_corrected,ge33,33.0,33.0,567,2,0,0,0,565,2,,0.0,,29.2,0.0625,0.5,0.1111111111111111,,-3.8000000000000007
