station_id,rows,existing_v09_proxy_bias,existing_v09_proxy_mae,reconstructed_from_v09_components_bias,reconstructed_from_v09_components_mae,stull_simple_globe_k0p0025_bias,stull_simple_globe_k0p0025_mae,stull_simple_globe_k0p0035_bias,stull_simple_globe_k0p0035_mae,stull_simple_globe_k0p0045_bias,stull_simple_globe_k0p0045_mae,stull_simple_globe_k0p0055_bias,stull_simple_globe_k0p0055_mae,stull_simple_globe_k0p0065_bias,stull_simple_globe_k0p0065_mae,no_radiation_sensitivity_tg_eq_tair_bias,no_radiation_sensitivity_tg_eq_tair_mae
S140,1497,-0.6047915084585078,1.0743418096964552,-0.604791508458508,1.0743418096964552,-0.640254298176338,1.091693925724835,-0.622522903317423,1.082891418744148,-0.604791508458508,1.0743418096964552,-0.5870601135995929,1.0659532249642476,-0.5693287187406778,1.0577173256519818,-0.6845827853236265,1.1149675198941604
S141,1497,-1.056143706202655,1.3744665168764347,-1.056143706202655,1.3744665168764352,-1.092749716136059,1.3973747649440424,-1.074446711169357,1.3858448672520784,-1.056143706202655,1.3744665168764347,-1.0378407012359532,1.3631766929010696,-1.0195376962692513,1.3520226579166246,-1.138507228552815,1.4267586239600398
S142,1497,-1.3875749506849104,1.715119027679255,-1.3875749506849104,1.7151190276792545,-1.4216010680282805,1.73698739753413,-1.4045880093565952,1.725970008973719,-1.3875749506849104,1.7151190276792545,-1.3705618920132254,1.7044588914992402,-1.35354883334154,1.6940457887212392,-1.4641337147074944,1.7649825885603028
S143,1497,-0.9116984690043143,1.3484917779130048,-0.9116984690043143,1.348491777913005,-0.951050909501764,1.3685368380702911,-0.9313746892530392,1.358454763929454,-0.9116984690043143,1.348491777913005,-0.8920222487555897,1.3388036189838082,-0.8723460285068648,1.3295749998208921,-1.000241460123577,1.394912388132391
S144,1497,-0.9403378110247262,1.2714112299010452,-0.940337811024726,1.2714112299010452,-0.9749722125614453,1.2908584729089323,-0.9576550117930857,1.2810537481611008,-0.940337811024726,1.2714112299010452,-0.9230206102563666,1.2618826490301132,-0.9057034094880069,1.2524164367570059,-1.0182652144823452,1.3158582362759916
S145,1497,-0.801747925492252,1.18213799873148,-0.8017479254922522,1.1821379987314802,-0.8390772936876472,1.2024922717679931,-0.8204126095899497,1.1922491381980636,-0.8017479254922522,1.1821379987314802,-0.7830832413945548,1.1721352383813495,-0.7644185572968571,1.1623284403909795,-0.8857390039318919,1.2291086585444972
S146,1497,-0.5268474506063421,1.0716476790479244,-0.5268474506063421,1.0716476790479244,-0.560203773111144,1.09219022431395,-0.5435256118587432,1.08185383185227,-0.5268474506063421,1.0716476790479244,-0.5101692893539412,1.0615363247689373,-0.49349112810154033,1.051460016786769,-0.6018991762421475,1.1184133965667262
S147,1497,-0.8212997348724216,1.3695492426261895,-0.8212997348724216,1.36954924262619,-0.8559341364091406,1.389827363738289,-0.838616935640781,1.3796466028992298,-0.8212997348724216,1.36954924262619,-0.803982534104062,1.3595234505059244,-0.7866653333357024,1.349565840775072,-0.8992271383300405,1.4161581738933458
S148,1497,-0.4239945650450403,1.01066532883762,-0.4239945650450403,1.01066532883762,-0.458276429331795,1.0249157851367794,-0.44113549718841766,1.0176601161265468,-0.4239945650450403,1.01066532883762,-0.4068536329016629,1.0037938891237055,-0.3897127007582857,0.99712499453586,-0.5011287596902394,1.0448125753833473
S149,1497,-0.40141607473107904,1.033049563945722,-0.40141607473107915,1.0330495639457222,-0.43569793901783377,1.0499890481081997,-0.4185570068744564,1.041436005529332,-0.40141607473107915,1.0330495639457222,-0.38427514258770173,1.0250319284961316,-0.3671342104443244,1.0172827447179678,-0.4785502693762782,1.0725086881136197
S150,1497,-0.6360115176884081,1.1454713466997068,-0.6360115176884084,1.145471346699707,-0.6700873617904738,1.1663864735698501,-0.6530494397394409,1.1558660672340615,-0.6360115176884082,1.145471346699707,-0.6189735956373755,1.135300557282334,-0.6019356735863428,1.1253288476904413,-0.7126821669180566,1.1936331147742565
S151,1497,-0.6953254139972657,1.2867748000821413,-0.6953254139972658,1.2867748000821415,-0.7301513031199186,1.3040572366852368,-0.7127383585585921,1.2953709498575308,-0.6953254139972657,1.2867748000821415,-0.6779124694359393,1.278382589597952,-0.6604995248746128,1.2700476432255947,-0.7736836645232358,1.3264131690114784
S153,1497,-0.8579645211505585,1.216312757869836,-0.8579645211505588,1.2163127578698363,-0.8934273108683888,1.2355611214295321,-0.8756959160094738,1.225831393538679,-0.8579645211505588,1.216312757869836,-0.8402331262916436,1.2068219029758032,-0.8225017314327285,1.1974568562392338,-0.9377557980156771,1.2607543685006204
S180,1497,-0.6916986560870985,1.159402656623497,-0.6916986560870985,1.159402656623497,-0.7271614458049286,1.1776411677349203,-0.7094300509460135,1.1684577610654219,-0.6916986560870985,1.1594026566234972,-0.6739672612281834,1.1505903831083693,-0.6562358663692682,1.1419668226915405,-0.771489932952217,1.2012936537292167
S184,1497,-0.762127983133286,1.1677771044319474,-0.7621279831332859,1.1677771044319474,-0.7986941768462988,1.183958588085036,-0.7804110799897923,1.1757516374368677,-0.7621279831332859,1.1677771044319474,-0.7438448862767797,1.1599701916850589,-0.7255617894202733,1.1522898929681327,-0.8444019189875658,1.2061833138116953
S187,1497,-0.7686100480825298,1.255843839862146,-0.7686100480825298,1.255843839862146,-0.8026858921845952,1.2768734092076346,-0.7856479701335626,1.266296021956083,-0.7686100480825298,1.255843839862146,-0.7515721260314971,1.2456692172327133,-0.7345342039804643,1.2358350747754097,-0.845280697312178,1.303767277372604
