hour_sgt,n,residual_mean,residual_median,residual_p90_abs,official_wbgt_mean,proxy_wbgt_mean
11.5,27,2.7039574838179368,2.586802709881244,3.7623577946613116,30.355555555555558,27.651598071737617
11.75,27,2.8295683406203533,2.6652816192515196,4.418178574819635,30.57037037037037,27.740802029750014
12.0,27,2.7568860898857372,2.7003220265161225,3.6694863516880183,30.585185185185182,27.828299095299446
12.25,27,2.835823527652605,2.831567193559799,3.8795981364737178,30.574074074074073,27.73825054642147
12.5,27,3.066797696839418,3.241949611420125,4.243170798747994,30.71481481481481,27.6480171179754
12.75,27,3.305372248885131,3.3361730531428435,4.211095428405639,30.86296296296296,27.557590714077833
13.0,27,3.4774785999557234,3.557098811577191,4.438933667441296,30.944444444444443,27.466965844488723
13.25,27,3.5048692572660474,3.2954753082002917,4.6200055137957,31.074074074074073,27.569204816808025
13.5,27,3.4571504307725354,3.3813911123239784,4.4151952611962715,31.133333333333333,27.676182902560797
13.75,27,3.204724654607553,3.1056041650060244,4.344433718461756,31.0,27.795275345392447
14.0,27,2.6659982498740664,2.6845703200033775,4.242872826376241,30.62962962962963,27.963631379755565
14.25,27,2.8631219689526257,2.7857364302313457,4.359127076371747,30.566666666666666,27.703544697714044
14.5,27,3.1408214268386536,3.119319223031521,4.6015088311054315,30.633333333333333,27.49251190649468
14.75,26,3.4661884836630414,3.639022098091738,4.505094076509922,30.765384615384615,27.299196131721576
15.0,27,3.855297488778934,4.029308750441793,5.346648440738628,30.955555555555552,27.100258066776618
15.25,27,4.275573022908041,4.141999381589564,5.800664808269381,31.303703703703704,27.02813068079566
15.5,27,4.437395116036864,4.553778259034953,5.486693504480941,31.392592592592592,26.95519747655573
15.75,27,4.207521494235853,4.254975498272245,5.522214354319285,31.08888888888889,26.881367394653036
16.0,27,4.01567672707093,4.084801068579644,5.312653417297018,30.822222222222223,26.806545495151294
16.25,27,3.5734179709634826,3.583279032334538,4.7087345183781775,30.4037037037037,26.830285732740222
16.5,27,3.138190659957604,3.100809877076699,4.512780023285892,29.99259259259259,26.85440193263499
16.75,27,2.7101311252848763,2.57120763467535,4.078696887991217,29.58888888888889,26.878757763604014
17.0,27,1.9300882220290811,2.018012035559831,2.9980120355598316,28.833333333333332,26.90324511130425
17.25,27,1.262694452027078,1.2054758834289103,1.958295926739143,28.15555555555556,26.892861103528478
17.5,27,0.8434428349453649,0.8430203079168948,1.2902889322898823,27.725925925925928,26.88248309098056
17.75,27,0.47959536560600885,0.45512586497331853,1.1244202119720357,27.35185185185185,26.872256486245846
18.0,27,0.2263912841953814,0.291397026117842,1.0974966668877109,27.08888888888889,26.862497604693505
18.25,27,0.08879010388027585,0.1355764999947553,0.8195000299822207,26.91111111111111,26.822321007230837
18.5,27,-0.10004878059784411,0.0738419906766552,0.8470119576019499,26.677777777777777,26.77782655837562
18.75,27,-0.23978793962203657,-0.14888853251010303,0.848590001137943,26.48888888888889,26.728676828510924
19.0,27,-0.32978036864640475,-0.31774178891942384,0.9028233435704623,26.34444444444444,26.674224813090852
19.25,27,-0.27817302824131207,-0.23475451592346275,0.8083513660604538,26.196296296296296,26.47446932453761
19.5,27,-0.13501886862457907,-0.10438586515764214,0.7584308244263959,26.13703703703704,26.272055905661617
19.75,27,0.048505269864760794,0.19261445886285955,0.5642971020044165,26.114814814814817,26.066309544950055
20.0,27,0.22108009745573115,0.2366792153434787,0.6464678784978141,26.07777777777778,25.856697680322046
20.25,27,0.16111722421908536,0.1341893673910839,0.5863606943596744,26.05925925925926,25.898142035040173
20.5,27,0.12711017713168346,0.09135350195004577,0.5924855975663078,26.066666666666666,25.939556489534986
20.75,27,0.0635031552339728,0.03747690700638984,0.5675831434749355,26.044444444444448,25.980941289210474
21.0,27,0.01474036696926875,-0.062169238128198856,0.5485796412507711,26.037037037037038,26.022296670067767
21.5,27,0.05082468975037839,-0.05895509836958368,0.6490873794276822,26.066666666666666,26.01584197691629
21.75,27,0.05783649773545002,-0.05895509836958368,0.6249986660202844,26.07037037037037,26.01253387263492
22.0,27,0.12045885893139444,0.04104490163041419,0.7283725523496,26.12962962962963,26.009170770698233
22.25,27,0.17680362711895542,0.1382441935716301,0.6681192894290922,26.196296296296296,26.01949266917734
22.5,27,0.19614947855307674,0.0951413835757755,0.7274077401143428,26.225925925925928,26.029776447372846
22.75,27,0.20442243255524956,0.16679391705091362,0.7775166692968949,26.244444444444444,26.040022011889192
23.25,27,0.23227344120608684,0.18755455221834083,0.8927707070155897,26.24074074074074,26.008467299534654
23.5,27,0.23334574278157383,0.2370976824013411,0.8434583991858852,26.2,25.966654257218426
23.75,27,0.2344686357283639,0.21630366507738685,0.794284070010707,26.159259259259258,25.924790623530892
