candidate_id,candidate_role,candidate_family,regime_variable,regime_bin,n_obs_ge31,n_ge31_miss,ge31_miss_rate_among_observed,share_of_candidate_ge31_misses_in_regime_variable,mean_residual_official_minus_pred_c
stull_globe_shortwave_radiation_k0p002_wf0p25,raw_formula_proxy,stull_wetbulb_simple_globe_k_sweep,shortwave_3h_mean_bin,low,0,0,,0.0,0.45112885775927825
stull_globe_shortwave_radiation_k0p002_wf0p25,raw_formula_proxy,stull_wetbulb_simple_globe_k_sweep,shortwave_3h_mean_bin,mid,1,1,1.0,0.004901960784313725,1.227527350555315
stull_globe_shortwave_radiation_k0p002_wf0p25,raw_formula_proxy,stull_wetbulb_simple_globe_k_sweep,shortwave_3h_mean_bin,high,53,53,1.0,0.25980392156862747,1.6293663664887688
stull_globe_shortwave_radiation_k0p002_wf0p25,raw_formula_proxy,stull_wetbulb_simple_globe_k_sweep,shortwave_3h_mean_bin,very_high,150,150,1.0,0.7352941176470589,2.729745252165613
stull_globe_shortwave_radiation_k0p002_wf0p25,raw_formula_proxy,stull_wetbulb_simple_globe_k_sweep,direct_radiation_bin,low,0,0,,0.0,0.393488193633768
stull_globe_shortwave_radiation_k0p002_wf0p25,raw_formula_proxy,stull_wetbulb_simple_globe_k_sweep,direct_radiation_bin,high,27,27,1.0,0.1323529411764706,2.0281802639557847
stull_globe_shortwave_radiation_k0p002_wf0p25,raw_formula_proxy,stull_wetbulb_simple_globe_k_sweep,direct_radiation_bin,very_high,177,177,1.0,0.8676470588235294,3.065549547972864
stull_globe_shortwave_radiation_k0p002_wf0p25,raw_formula_proxy,stull_wetbulb_simple_globe_k_sweep,diffuse_radiation_bin,low,0,0,,0.0,0.393488193633768
stull_globe_shortwave_radiation_k0p002_wf0p25,raw_formula_proxy,stull_wetbulb_simple_globe_k_sweep,diffuse_radiation_bin,high,24,24,1.0,0.11764705882352941,1.652883904422773
stull_globe_shortwave_radiation_k0p002_wf0p25,raw_formula_proxy,stull_wetbulb_simple_globe_k_sweep,diffuse_radiation_bin,very_high,180,180,1.0,0.8823529411764706,3.3706465884565353
stull_globe_shortwave_radiation_k0p002_wf0p25,raw_formula_proxy,stull_wetbulb_simple_globe_k_sweep,temperature_bin,mid,2,2,1.0,0.00980392156862745,0.6615065067708905
stull_globe_shortwave_radiation_k0p002_wf0p25,raw_formula_proxy,stull_wetbulb_simple_globe_k_sweep,temperature_bin,high,44,44,1.0,0.21568627450980393,1.7069656122167616
stull_globe_shortwave_radiation_k0p002_wf0p25,raw_formula_proxy,stull_wetbulb_simple_globe_k_sweep,temperature_bin,very_high,158,158,1.0,0.7745098039215687,2.63341813003254
stull_globe_shortwave_radiation_k0p002_wf0p25,raw_formula_proxy,stull_wetbulb_simple_globe_k_sweep,temperature_bin,low,0,0,,0.0,0.6810741874438159
stull_globe_shortwave_radiation_k0p002_wf0p25,raw_formula_proxy,stull_wetbulb_simple_globe_k_sweep,humidity_bin,high,3,3,1.0,0.014705882352941176,0.6447293377908047
stull_globe_shortwave_radiation_k0p002_wf0p25,raw_formula_proxy,stull_wetbulb_simple_globe_k_sweep,humidity_bin,mid,51,51,1.0,0.25,1.7330340944924854
stull_globe_shortwave_radiation_k0p002_wf0p25,raw_formula_proxy,stull_wetbulb_simple_globe_k_sweep,humidity_bin,low,150,150,1.0,0.7352941176470589,2.498790382997854
stull_globe_shortwave_radiation_k0p002_wf0p25,raw_formula_proxy,stull_wetbulb_simple_globe_k_sweep,humidity_bin,very_high,0,0,,0.0,0.6473497337987661
stull_globe_shortwave_radiation_k0p002_wf0p25,raw_formula_proxy,stull_wetbulb_simple_globe_k_sweep,wind_bin,low,25,25,1.0,0.12254901960784313,0.80014180336324
stull_globe_shortwave_radiation_k0p002_wf0p25,raw_formula_proxy,stull_wetbulb_simple_globe_k_sweep,wind_bin,mid,28,28,1.0,0.13725490196078433,1.0316939865077301
stull_globe_shortwave_radiation_k0p002_wf0p25,raw_formula_proxy,stull_wetbulb_simple_globe_k_sweep,wind_bin,high,49,49,1.0,0.24019607843137256,1.516242676041558
