check_name,status,value,details
TP_0691:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0691:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0691:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0691:same_transform,PASS,"(30900.0, 2.0, 0.0, 36700.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0691:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0691:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0693:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0693:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0693:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0693:same_transform,PASS,"(31100.0, 2.0, 0.0, 36700.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0693:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0693:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0707:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0707:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0707:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0707:same_transform,PASS,"(29600.0, 2.0, 0.0, 36800.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0707:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0707:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0710:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0710:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0710:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0710:same_transform,PASS,"(29900.0, 2.0, 0.0, 36800.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0710:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0710:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0711:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0711:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0711:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0711:same_transform,PASS,"(30000.0, 2.0, 0.0, 36800.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0711:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0711:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0718:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0718:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0718:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0718:same_transform,PASS,"(30700.0, 2.0, 0.0, 36800.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0718:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0718:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0719:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0719:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0719:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0719:same_transform,PASS,"(30800.0, 2.0, 0.0, 36800.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0719:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0719:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0720:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0720:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0720:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0720:same_transform,PASS,"(30900.0, 2.0, 0.0, 36800.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0720:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0720:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0740:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0740:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0740:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0740:same_transform,PASS,"(30000.0, 2.0, 0.0, 36900.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0740:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0740:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0744:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0744:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0744:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0744:same_transform,PASS,"(30400.0, 2.0, 0.0, 36900.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0744:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0744:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0745:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0745:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0745:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0745:same_transform,PASS,"(30500.0, 2.0, 0.0, 36900.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0745:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0745:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0746:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0746:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0746:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0746:same_transform,PASS,"(30600.0, 2.0, 0.0, 36900.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0746:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0746:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0747:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0747:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0747:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0747:same_transform,PASS,"(30700.0, 2.0, 0.0, 36900.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0747:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0747:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0759:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0759:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0759:same_shape,PASS,150x150,Rasters within each cell must share shape.
