check_name,status,value,details
TP_0901:same_transform,PASS,"(28700.0, 2.0, 0.0, 37500.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0901:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0901:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0908:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0908:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0908:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0908:same_transform,PASS,"(29400.0, 2.0, 0.0, 37500.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0908:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0908:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0933:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0933:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0933:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0933:same_transform,PASS,"(29000.0, 2.0, 0.0, 37600.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0933:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0933:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0934:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0934:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0934:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0934:same_transform,PASS,"(29100.0, 2.0, 0.0, 37600.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0934:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0934:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0936:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0936:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0936:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0936:same_transform,PASS,"(29300.0, 2.0, 0.0, 37600.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0936:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0936:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0947:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0947:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0947:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0947:same_transform,PASS,"(30400.0, 2.0, 0.0, 37600.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0947:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0947:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0948:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0948:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0948:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0948:same_transform,PASS,"(30500.0, 2.0, 0.0, 37600.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0948:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0948:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0960:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0960:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0960:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0960:same_transform,PASS,"(28800.0, 2.0, 0.0, 37700.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0960:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0960:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0963:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0963:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0963:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0963:same_transform,PASS,"(29100.0, 2.0, 0.0, 37700.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0963:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0963:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0967:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0967:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0967:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0967:same_transform,PASS,"(29500.0, 2.0, 0.0, 37700.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0967:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0967:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0986:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0986:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0986:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0986:same_transform,PASS,"(31400.0, 2.0, 0.0, 37700.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0986:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0986:same_dtype,PASS,float32,Rasters within each cell must share dtype.
all_cells_same_crs,PASS,EPSG:3414,"Across cells, crs should match."
all_cells_same_dtype,PASS,float32,"Across cells, dtype should match."
all_cells_transform_may_differ,PASS,150 distinct transforms,"Across cells, transform may differ; within-cell transform identity is checked separately."
output_path_outside_git_worktree,PASS,C:/OpenHeat-local/solweig/b85_f1_tiles,Expected output paths must remain local-only and outside Git.
no_raster_output_written_by_qa,PASS,no,QA writes no raster/image/array outputs.
