cell_id,hour_sgt,fd01_forcing_day_id,fd02_forcing_day_id,contrast_direction,delta_tmrt_p90_fd01_c,delta_tmrt_p90_fd02_c,fd02_minus_fd01_delta_tmrt_p90_c,sign_stable,rank_fd01,rank_fd02,rank_drift,notes
TP_0141,10,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,-0.784488,-0.130893,0.653595,yes,9,27,18,FD02 - FD01 for delta_tmrt_p90_c; SOLWEIG Tmrt label only.
TP_0154,10,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,-0.124112,-0.004693,0.119419,yes,51,80,29,FD02 - FD01 for delta_tmrt_p90_c; SOLWEIG Tmrt label only.
TP_0160,10,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,-0.000362,-0.002064,-0.001702,yes,100,87,13,FD02 - FD01 for delta_tmrt_p90_c; SOLWEIG Tmrt label only.
TP_0162,10,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,-0.029826,-0.019830,0.009996,yes,74,58,16,FD02 - FD01 for delta_tmrt_p90_c; SOLWEIG Tmrt label only.
TP_0166,10,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,-0.004778,0.000149,0.004927,no,94,137,43,FD02 - FD01 for delta_tmrt_p90_c; SOLWEIG Tmrt label only.
TP_0170,10,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,-0.181125,-0.071888,0.109237,yes,43,41,2,FD02 - FD01 for delta_tmrt_p90_c; SOLWEIG Tmrt label only.
TP_0183,10,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,-0.193451,-0.107160,0.086291,yes,41,31,10,FD02 - FD01 for delta_tmrt_p90_c; SOLWEIG Tmrt label only.
TP_0192,10,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,0.000000,0.000000,0.000000,yes,101,94,7,FD02 - FD01 for delta_tmrt_p90_c; SOLWEIG Tmrt label only.
TP_0207,10,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,0.000000,0.000000,0.000000,yes,101,94,7,FD02 - FD01 for delta_tmrt_p90_c; SOLWEIG Tmrt label only.
TP_0208,10,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,0.000000,0.000000,0.000000,yes,101,94,7,FD02 - FD01 for delta_tmrt_p90_c; SOLWEIG Tmrt label only.
TP_0215,10,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,-0.038399,-0.022409,0.015990,yes,70,54,16,FD02 - FD01 for delta_tmrt_p90_c; SOLWEIG Tmrt label only.
TP_0218,10,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,0.000000,0.000000,0.000000,yes,101,94,7,FD02 - FD01 for delta_tmrt_p90_c; SOLWEIG Tmrt label only.
TP_0226,10,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,-0.244840,-0.000532,0.244308,yes,34,92,58,FD02 - FD01 for delta_tmrt_p90_c; SOLWEIG Tmrt label only.
TP_0233,10,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,0.000000,0.000000,0.000000,yes,101,94,7,FD02 - FD01 for delta_tmrt_p90_c; SOLWEIG Tmrt label only.
TP_0237,10,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,0.000000,0.000000,0.000000,yes,101,94,7,FD02 - FD01 for delta_tmrt_p90_c; SOLWEIG Tmrt label only.
TP_0248,10,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,0.000000,0.000000,0.000000,yes,101,94,7,FD02 - FD01 for delta_tmrt_p90_c; SOLWEIG Tmrt label only.
TP_0254,10,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,-0.111914,-0.003524,0.108390,yes,54,83,29,FD02 - FD01 for delta_tmrt_p90_c; SOLWEIG Tmrt label only.
TP_0257,10,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,-0.291460,-0.138033,0.153427,yes,26,24,2,FD02 - FD01 for delta_tmrt_p90_c; SOLWEIG Tmrt label only.
TP_0263,10,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,-0.063196,-0.031108,0.032088,yes,63,50,13,FD02 - FD01 for delta_tmrt_p90_c; SOLWEIG Tmrt label only.
TP_0276,10,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,0.000000,0.000000,0.000000,yes,101,94,7,FD02 - FD01 for delta_tmrt_p90_c; SOLWEIG Tmrt label only.
TP_0285,10,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,-0.266897,-0.138986,0.127911,yes,30,23,7,FD02 - FD01 for delta_tmrt_p90_c; SOLWEIG Tmrt label only.
TP_0286,10,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,0.000000,0.001249,0.001249,no,101,140,39,FD02 - FD01 for delta_tmrt_p90_c; SOLWEIG Tmrt label only.
TP_0293,10,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,0.000000,0.000000,0.000000,yes,101,94,7,FD02 - FD01 for delta_tmrt_p90_c; SOLWEIG Tmrt label only.
TP_0301,10,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,0.000000,0.000000,0.000000,yes,101,94,7,FD02 - FD01 for delta_tmrt_p90_c; SOLWEIG Tmrt label only.
TP_0313,10,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,0.000000,0.000000,0.000000,yes,101,94,7,FD02 - FD01 for delta_tmrt_p90_c; SOLWEIG Tmrt label only.
TP_0318,10,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,0.000000,0.000000,0.000000,yes,101,94,7,FD02 - FD01 for delta_tmrt_p90_c; SOLWEIG Tmrt label only.
TP_0319,10,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,0.000000,0.000000,0.000000,yes,101,94,7,FD02 - FD01 for delta_tmrt_p90_c; SOLWEIG Tmrt label only.
TP_0326,10,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,0.000000,0.002966,0.002966,no,101,142,41,FD02 - FD01 for delta_tmrt_p90_c; SOLWEIG Tmrt label only.
TP_0337,10,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,-0.039188,-0.017772,0.021416,yes,68,60,8,FD02 - FD01 for delta_tmrt_p90_c; SOLWEIG Tmrt label only.
TP_0346,10,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,0.000000,0.000000,0.000000,yes,101,94,7,FD02 - FD01 for delta_tmrt_p90_c; SOLWEIG Tmrt label only.
TP_0349,10,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,-0.099865,-0.031799,0.068066,yes,58,49,9,FD02 - FD01 for delta_tmrt_p90_c; SOLWEIG Tmrt label only.
TP_0361,10,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,0.000000,0.000000,0.000000,yes,101,94,7,FD02 - FD01 for delta_tmrt_p90_c; SOLWEIG Tmrt label only.
TP_0365,10,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,-0.023186,-0.018191,0.004995,yes,76,59,17,FD02 - FD01 for delta_tmrt_p90_c; SOLWEIG Tmrt label only.
TP_0366,10,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,-0.016571,-0.011391,0.005180,yes,85,68,17,FD02 - FD01 for delta_tmrt_p90_c; SOLWEIG Tmrt label only.
TP_0378,10,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,-0.034165,-0.001132,0.033033,yes,71,90,19,FD02 - FD01 for delta_tmrt_p90_c; SOLWEIG Tmrt label only.
TP_0379,10,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,-0.082773,-0.033400,0.049373,yes,61,47,14,FD02 - FD01 for delta_tmrt_p90_c; SOLWEIG Tmrt label only.
TP_0380,10,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,-0.273183,0.008564,0.281747,no,28,144,116,FD02 - FD01 for delta_tmrt_p90_c; SOLWEIG Tmrt label only.
TP_0381,10,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,-0.243570,0.014140,0.257710,no,35,147,112,FD02 - FD01 for delta_tmrt_p90_c; SOLWEIG Tmrt label only.
TP_0403,10,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,-1.043483,-0.285910,0.757573,yes,5,8,3,FD02 - FD01 for delta_tmrt_p90_c; SOLWEIG Tmrt label only.
TP_0407,10,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,-0.116315,-0.022167,0.094148,yes,53,55,2,FD02 - FD01 for delta_tmrt_p90_c; SOLWEIG Tmrt label only.
TP_0409,10,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,-0.318773,0.010121,0.328894,no,25,146,121,FD02 - FD01 for delta_tmrt_p90_c; SOLWEIG Tmrt label only.
TP_0412,10,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,0.000000,0.000595,0.000595,no,101,139,38,FD02 - FD01 for delta_tmrt_p90_c; SOLWEIG Tmrt label only.
TP_0418,10,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,0.000000,0.000000,0.000000,yes,101,94,7,FD02 - FD01 for delta_tmrt_p90_c; SOLWEIG Tmrt label only.
TP_0430,10,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,-0.580216,-0.324616,0.255600,yes,14,7,7,FD02 - FD01 for delta_tmrt_p90_c; SOLWEIG Tmrt label only.
TP_0433,10,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,-0.792708,-0.074098,0.718610,yes,8,40,32,FD02 - FD01 for delta_tmrt_p90_c; SOLWEIG Tmrt label only.
TP_0438,10,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,-0.172982,0.000431,0.173413,no,44,138,94,FD02 - FD01 for delta_tmrt_p90_c; SOLWEIG Tmrt label only.
TP_0448,10,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,0.000000,0.000000,0.000000,yes,101,94,7,FD02 - FD01 for delta_tmrt_p90_c; SOLWEIG Tmrt label only.
TP_0454,10,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,0.000000,0.000064,0.000064,no,101,136,35,FD02 - FD01 for delta_tmrt_p90_c; SOLWEIG Tmrt label only.
TP_0458,10,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,0.000000,0.000000,0.000000,yes,101,94,7,FD02 - FD01 for delta_tmrt_p90_c; SOLWEIG Tmrt label only.
TP_0465,10,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,-0.004630,-0.000690,0.003940,yes,95,91,4,FD02 - FD01 for delta_tmrt_p90_c; SOLWEIG Tmrt label only.
TP_0475,10,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,0.000000,-0.000105,-0.000105,no,101,93,8,FD02 - FD01 for delta_tmrt_p90_c; SOLWEIG Tmrt label only.
TP_0489,10,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,-0.136903,-0.099318,0.037585,yes,48,33,15,FD02 - FD01 for delta_tmrt_p90_c; SOLWEIG Tmrt label only.
TP_0492,10,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,0.000000,0.000000,0.000000,yes,101,94,7,FD02 - FD01 for delta_tmrt_p90_c; SOLWEIG Tmrt label only.
TP_0498,10,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,0.000000,0.000026,0.000026,no,101,135,34,FD02 - FD01 for delta_tmrt_p90_c; SOLWEIG Tmrt label only.
TP_0542,10,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,-0.492913,-0.277398,0.215515,yes,18,10,8,FD02 - FD01 for delta_tmrt_p90_c; SOLWEIG Tmrt label only.
TP_0543,10,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,-0.234396,-0.149111,0.085285,yes,36,19,17,FD02 - FD01 for delta_tmrt_p90_c; SOLWEIG Tmrt label only.
