cell_id,hazard_score_proxy_v07,rank_proxy_v07_hazard_score,hazard_score_umep_veg_v08,rank_umep_veg_v08_hazard_score,rank_change_proxy_minus_umep
TP_0983,0.5598690138986602,222.0,0.7047586357461876,24.0,198.0
TP_0374,0.5057136677274238,309.0,0.4860612781906887,351.0,-42.0
TP_0709,0.5177513375473674,289.0,0.6063930831637139,171.0,118.0
TP_0708,0.6345995300799471,102.0,0.6396449673731498,122.0,-20.0
TP_0450,0.6290693292667332,114.0,0.4560039441528357,389.0,-275.0
TP_0402,0.6317126751222485,109.0,0.3454759254067863,553.0,-444.0
TP_0424,0.5294159948484574,268.0,0.2792036728904697,659.0,-391.0
TP_0653,0.509102632621816,301.0,0.6093296802974899,165.0,136.0
TP_0907,0.5364838682366624,256.0,0.5152572702324398,296.0,-40.0
TP_0808,0.632581700774492,108.0,0.2302839301789773,729.0,-621.0
TP_0930,0.6467637844431063,86.0,0.5814699794249794,204.0,-118.0
TP_0471,0.5078601626509913,304.0,0.5376920344052826,261.0,43.0
TP_0663,0.5477747402205028,243.0,0.467504894158304,372.0,-129.0
TP_0032,0.6339750665860486,103.0,0.4447605307526791,403.0,-300.0
TP_0393,0.6217396867686549,125.0,0.3038647173209872,616.0,-491.0
TP_0564,0.6127704865435277,142.0,0.7211238662880441,7.0,135.0
TP_0724,0.531706267450984,265.0,0.5749036806338536,212.0,53.0
TP_0851,0.633212069857275,106.0,0.2232561952236611,737.0,-631.0
TP_0189,0.6030382222305767,157.0,0.5084279041454585,302.0,-145.0
TP_0311,0.4808305404715968,354.0,0.4194685469394422,444.0,-90.0
TP_0226,0.5164642008207788,291.0,0.5172821794936574,292.0,-1.0
TP_0078,0.5186883210582173,284.0,0.6502476380455128,110.0,174.0
TP_0725,0.5433531314912903,250.0,0.5432768432277586,255.0,-5.0
TP_0761,0.5232013577237465,276.0,0.6273149101642929,141.0,135.0
TP_0335,0.5056321437641877,311.0,0.4035052455902355,467.0,-156.0
TP_0612,0.611800010584936,143.0,0.4926834438458067,339.0,-196.0
TP_0036,0.4894582130866808,343.0,0.6655851827784549,82.0,261.0
TP_0599,0.5033549246894089,319.0,0.2698180447986998,676.0,-357.0
TP_0951,0.6222390957202188,123.0,0.6328404915780955,132.0,-9.0
TP_0010,0.4992728777018564,329.0,0.4234321363999808,435.0,-106.0
TP_0901,0.6337055788526477,105.0,0.4143698130730395,451.0,-346.0
TP_0955,0.5207880734545491,280.0,0.6929690333131605,44.0,236.0
TP_0453,0.5063536380984287,308.0,0.284457608065982,647.0,-339.0
TP_0883,0.6337610616886177,104.0,0.4933966466545578,336.0,-232.0
TP_0113,0.6193431332887326,129.0,0.2152906738403059,745.0,-616.0
TP_0118,0.6560647637641873,72.0,0.2958895226292043,630.0,-558.0
TP_0925,0.6170408495756017,133.0,0.6647694995157651,87.0,46.0
TP_0107,0.6171663077287998,132.0,0.4976789483150137,325.0,-193.0
TP_0609,0.4727270896494104,367.0,0.1109138206099917,896.0,-529.0
TP_0799,0.50265855218862,320.0,0.2727659224393799,671.0,-351.0
TP_0228,0.6132605403531847,140.0,0.1454745174713013,847.0,-707.0
TP_0517,0.6293753193741713,113.0,0.4797985397767993,362.0,-249.0
TP_0692,0.5175525615773084,290.0,0.3827348908701818,501.0,-211.0
TP_0628,0.4868753823361366,347.0,0.3300598781712758,575.0,-228.0
TP_0874,0.4751764700627798,364.0,0.2959460549087403,628.0,-264.0
TP_0324,0.4984807844555525,330.0,0.295904938615517,629.0,-299.0
TP_0275,0.5002475733234637,326.0,0.3584691817620614,526.0,-200.0
TP_0317,0.5019598354085022,323.0,0.5325804997333703,269.0,54.0
TP_0455,0.4732826648028891,366.0,0.3062168593972826,612.0,-246.0
TP_0409,0.6630677282396774,64.0,0.2074105444906316,757.0,-693.0
TP_0593,0.6149676204378233,138.0,0.5423635499920666,256.0,-118.0
TP_0387,0.5837493031169174,183.0,0.4720328411415243,368.0,-185.0
TP_0976,0.5955023194186968,164.0,0.398334064966362,479.0,-315.0
TP_0868,0.5012391641617151,325.0,0.2201283251582326,740.0,-415.0
