timestamp_sgt,timestamp_utc,dataset_label,station_count,network_median_p_ge31,network_p90_p_ge31,network_max_p_ge31,anchor_S128_p_ge31,exclude_S142_network_p90_p_ge31,exclude_high_event_stations_network_p90_p_ge31,anchor_minus_median_p_ge31,anchor_minus_p90_p_ge31,max_minus_p90_p_ge31,s142_exclusion_delta_p90_p_ge31,high_event_exclusion_delta_p90_p_ge31,s142_exclusion_abs_delta_gt_0p05,high_event_exclusion_abs_delta_gt_0p05
2026-05-16 01:00:00+08:00,2026-05-15 17:00:00+0000,hourly_max,27,0.0017374139333713,0.00239286417460398,0.0166982154592758,0.0009905629348257,0.00239397866579225,0.00238635772998553,-0.0007468509985456,-0.0014023012397782798,0.01430535128467182,1.1144911882701551e-06,-6.506444618450003e-06,False,False
2026-05-16 02:00:00+08:00,2026-05-15 18:00:00+0000,hourly_max,27,0.0023451441977845,0.0037475463186609,0.0268747181136588,0.0015015492803758,0.0037508340859721,0.0037203430189579898,-0.0008435949174087,-0.0022459970382850995,0.0231271717949979,3.2877673112000766e-06,-2.7203299702910008e-05,False,False
2026-05-16 03:00:00+08:00,2026-05-15 19:00:00+0000,hourly_max,27,0.0037261205934821,0.00542691571309524,0.0347864255488999,0.00221072362958,0.0054327358613982,0.00537364348824381,-0.0015153969639021,-0.00321619208351524,0.02935950983580466,5.820148302960321e-06,-5.327222485143005e-05,False,False
2026-05-16 04:00:00+08:00,2026-05-15 20:00:00+0000,hourly_max,27,0.0023806994954782,0.00304904578101272,0.0238909460986592,0.0014462223204354,0.0030523171585208,0.00302420077097585,-0.0009344771750428001,-0.00160282346057732,0.02084190031764648,3.271377508079921e-06,-2.484501003687011e-05,False,False
2026-05-16 05:00:00+08:00,2026-05-15 21:00:00+0000,hourly_max,27,0.0031242088344795,0.00443947782837114,0.0290806358714656,0.0019680954423448,0.004448975705642949,0.00446797146018657,-0.0011561133921347,-0.0024713823860263396,0.024641158043094462,9.497877271809688e-06,2.849363181542993e-05,False,False
2026-05-16 06:00:00+08:00,2026-05-15 22:00:00+0000,hourly_max,27,0.0029636419525588,0.00409343958449786,0.025796087336342,0.0019774644833597,0.0040946182720337995,0.00408359762091937,-0.0009861774691991001,-0.00211597510113816,0.02170264775184414,1.1786875359397556e-06,-9.841963578489585e-06,False,False
2026-05-16 07:00:00+08:00,2026-05-15 23:00:00+0000,hourly_max,27,0.002516790437635,0.00352864074635668,0.0262227302610192,0.0017191528554108,0.0035340579221814503,0.00354489227383099,-0.0007976375822242,-0.00180948789094588,0.022694089514662518,5.41717582477029e-06,1.6251527474310003e-05,False,False
2026-05-16 08:00:00+08:00,2026-05-16 00:00:00+0000,hourly_max,27,0.0054621966090887,0.00756398861432726,0.0409222674605149,0.0026604459625045,0.00757132449916955,0.007585996268854129,-0.0028017506465842002,-0.004903542651822759,0.03335827884618764,7.335884842290391e-06,2.200765452686944e-05,False,False
2026-05-16 09:00:00+08:00,2026-05-16 01:00:00+0000,hourly_max,27,0.0096741049180568,0.012632250267234201,0.0532243431382048,0.0082567116777327,0.01259883124311385,0.01247595210810225,-0.0014173932403241003,-0.004375538589501501,0.0405920928709706,-3.341902412035136e-05,-0.00015629815913195157,False,False
2026-05-16 10:00:00+08:00,2026-05-16 02:00:00+0000,hourly_max,27,0.0083890641810454,0.01001510527499386,0.0225785753259954,0.0081395638934459,0.0100180166337711,0.01002383935132558,-0.00024950028759950123,-0.0018755413815479613,0.01256347005100154,2.9113587772383598e-06,8.734076331718549e-06,False,False
2026-05-16 11:00:00+08:00,2026-05-16 03:00:00+0000,hourly_max,27,0.0104178951513875,0.01461310092066464,0.0285825099986572,0.0096440413374425,0.0146216246402479,0.01463867207941442,-0.0007738538139449996,-0.00496905958322214,0.01396940907799256,8.523719583259162e-06,2.557115874977922e-05,False,False
2026-05-16 12:00:00+08:00,2026-05-16 04:00:00+0000,hourly_max,27,0.011547160453032,0.016930969308355442,0.0711990341125193,0.0089179245809699,0.01702517684509695,0.017202755017590297,-0.0026292358720621,-0.008013044727385543,0.05426806480416385,9.420753674150781e-05,0.00027178570923485496,False,False
2026-05-16 13:00:00+08:00,2026-05-16 05:00:00+0000,hourly_max,27,0.0160233889821913,0.02696916615623746,0.0542570239137283,0.0144952804157032,0.0270002377756237,0.02679955278131185,-0.0015281085664880997,-0.01247388574053426,0.027287857757490843,3.1071619386240784e-05,-0.0001696133749256104,False,False
2026-05-16 14:00:00+08:00,2026-05-16 06:00:00+0000,hourly_max,27,0.0079396258177191,0.01118176879163802,0.0114472269309621,0.0097089038589178,0.011195119103737002,0.01122181972793496,0.0017692780411986998,-0.0014728649327202213,0.0002654581393240797,1.3350312098980854e-05,4.0050936296939094e-05,False,False
2026-05-16 15:00:00+08:00,2026-05-16 07:00:00+0000,hourly_max,27,0.0096282319726548,0.011939677341605101,0.0377428303855846,0.0085107777641312,0.0119864398965164,0.012079965006339,-0.0011174542085235998,-0.003428899577473901,0.025803153043979496,4.676255491129974e-05,0.00014028766473389923,False,False
2026-05-16 16:00:00+08:00,2026-05-16 08:00:00+0000,hourly_max,27,0.0375085798726827,0.049556458674005585,0.0929901460993116,0.0374708373907127,0.0495643636725263,0.04958017366956774,-3.7742481969998964e-05,-0.012085621283292887,0.04343368742530601,7.90499852071358e-06,2.3714995562154617e-05,False,False
2026-05-16 17:00:00+08:00,2026-05-16 09:00:00+0000,hourly_max,27,0.0125654700730312,0.0153240571236517,0.0195320980905076,0.0100507146346708,0.0153242898436549,0.01529004294563929,-0.002514755438360399,-0.0052733424889808995,0.004208040966855899,2.3272000320047337e-07,-3.401417801241098e-05,False,False
2026-05-16 18:00:00+08:00,2026-05-16 10:00:00+0000,hourly_max,27,0.0032694330948398,0.00367164039942852,0.0047881280734474,0.0029605975855232,0.00367187688815385,0.00367234986560451,-0.0003088355093166001,-0.0007110428139053201,0.00111648767401888,2.3648872532998355e-07,7.094661759899507e-07,False,False
2026-05-16 19:00:00+08:00,2026-05-16 11:00:00+0000,hourly_max,27,0.0019612983926123,0.0022733863032335,0.0039368466362385,0.0018381019050241,0.0022747003644219502,0.00227732848679885,-0.00012319648758820018,-0.0004352843982094001,0.0016634603330050002,1.3140611884502294e-06,3.942183565349821e-06,False,False
2026-05-16 20:00:00+08:00,2026-05-16 12:00:00+0000,hourly_max,27,0.0014290759318747,0.00171633659210042,0.0046071066271983,0.0012000788114992,0.00171902668862235,0.00172440688166621,-0.00022899712037550003,-0.0005162577806012202,0.00289077003509788,2.6900965219298426e-06,8.070289565789961e-06,False,False
2026-05-16 21:00:00+08:00,2026-05-16 13:00:00+0000,hourly_max,27,0.0016821706544184,0.00208616763444156,0.0069235579177669,0.0013651688465764,0.0020875200376348,0.0020902248440212803,-0.000317001807842,-0.0007209987878651599,0.00483739028332534,1.352403193240117e-06,4.057209579720351e-06,False,False
