record_type,cell_id,hour_sgt,forcing_day_id,scenario,metric,value,status,details
top_k_overlap_by_hour,,15,FD01_vs_FD02,overhead_as_canopy_minus_base,top20pct,0.800000,WARN,overlap=4/5; FD01_top=TP_0141;TP_0409;TP_0433;TP_0542;TP_0857; FD02_top=TP_0037;TP_0141;TP_0433;TP_0542;TP_0857
spearman_by_hour,,16,,,spearman_delta_tmrt_p90_fd01_fd02,0.992752,PASS,Spearman correlation between FD01 and FD02 delta_tmrt_p90_c ranks by hour.
rank_drift_by_cell_hour,TP_0037,16,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,0,PASS,FD01_rank=5; FD02_rank=5; sign_stable=True
rank_drift_by_cell_hour,TP_0059,16,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,1,PASS,FD01_rank=11; FD02_rank=10; sign_stable=True
rank_drift_by_cell_hour,TP_0088,16,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,1,PASS,FD01_rank=13; FD02_rank=12; sign_stable=True
rank_drift_by_cell_hour,TP_0098,16,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,0,PASS,FD01_rank=9; FD02_rank=9; sign_stable=True
rank_drift_by_cell_hour,TP_0115,16,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,0,PASS,FD01_rank=20; FD02_rank=20; sign_stable=True
rank_drift_by_cell_hour,TP_0141,16,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,0,PASS,FD01_rank=3; FD02_rank=3; sign_stable=True
rank_drift_by_cell_hour,TP_0154,16,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,0,PASS,FD01_rank=8; FD02_rank=8; sign_stable=True
rank_drift_by_cell_hour,TP_0254,16,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,0,PASS,FD01_rank=14; FD02_rank=14; sign_stable=True
rank_drift_by_cell_hour,TP_0301,16,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,0,PASS,FD01_rank=20; FD02_rank=20; sign_stable=True
rank_drift_by_cell_hour,TP_0326,16,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,0,PASS,FD01_rank=20; FD02_rank=20; sign_stable=True
rank_drift_by_cell_hour,TP_0366,16,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,1,PASS,FD01_rank=16; FD02_rank=17; sign_stable=True
rank_drift_by_cell_hour,TP_0409,16,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,3,PASS,FD01_rank=10; FD02_rank=13; sign_stable=True
rank_drift_by_cell_hour,TP_0433,16,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,0,PASS,FD01_rank=2; FD02_rank=2; sign_stable=True
rank_drift_by_cell_hour,TP_0492,16,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,0,PASS,FD01_rank=20; FD02_rank=20; sign_stable=True
rank_drift_by_cell_hour,TP_0542,16,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,0,PASS,FD01_rank=4; FD02_rank=4; sign_stable=True
rank_drift_by_cell_hour,TP_0565,16,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,0,PASS,FD01_rank=18; FD02_rank=18; sign_stable=True
rank_drift_by_cell_hour,TP_0575,16,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,0,PASS,FD01_rank=6; FD02_rank=6; sign_stable=True
rank_drift_by_cell_hour,TP_0627,16,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,0,PASS,FD01_rank=15; FD02_rank=15; sign_stable=True
