cell_id,forcing_day_id,date,hour_sgt,scenario,tmrt_mean_c,tmrt_p50_c,tmrt_p90_c,tmrt_p95_c,tmrt_max_c,valid_pixel_count,nodata_fraction,sanity_status
TP_0098,FD01_high_shortwave_hot_20260507,2026-05-07,13,overhead_as_canopy,47.048286,40.545263,60.778286,61.743848,62.624058,22500,0.000000,PASS
TP_0098,FD01_high_shortwave_hot_20260507,2026-05-07,15,base,45.294271,39.381668,58.590686,59.778057,60.862850,22500,0.000000,PASS
TP_0098,FD01_high_shortwave_hot_20260507,2026-05-07,15,overhead_as_canopy,44.751128,39.073046,58.343870,59.778057,60.862850,22500,0.000000,PASS
TP_0098,FD01_high_shortwave_hot_20260507,2026-05-07,16,base,39.860807,36.175938,49.426335,50.680987,51.876396,22500,0.000000,PASS
TP_0098,FD01_high_shortwave_hot_20260507,2026-05-07,16,overhead_as_canopy,39.487093,35.953482,49.110684,50.680987,51.876396,22500,0.000000,PASS
TP_0098,FD02_humid_hot_cloudy_or_diffuse_20260508,2026-05-08,10,base,27.231093,27.412927,27.910542,28.244043,29.720144,22500,0.000000,PASS
TP_0098,FD02_humid_hot_cloudy_or_diffuse_20260508,2026-05-08,10,overhead_as_canopy,27.223188,27.407321,27.919696,28.257029,29.720144,22500,0.000000,PASS
TP_0098,FD02_humid_hot_cloudy_or_diffuse_20260508,2026-05-08,12,base,41.527279,36.982771,51.174639,52.174591,53.527645,22500,0.000000,PASS
TP_0098,FD02_humid_hot_cloudy_or_diffuse_20260508,2026-05-08,12,overhead_as_canopy,41.134080,36.710398,50.819145,52.174591,53.527645,22500,0.000000,PASS
TP_0098,FD02_humid_hot_cloudy_or_diffuse_20260508,2026-05-08,13,base,45.367674,39.848337,57.269434,58.282928,59.614849,22500,0.000000,PASS
TP_0098,FD02_humid_hot_cloudy_or_diffuse_20260508,2026-05-08,13,overhead_as_canopy,44.898044,39.379112,56.909462,58.282928,59.614849,22500,0.000000,PASS
TP_0098,FD02_humid_hot_cloudy_or_diffuse_20260508,2026-05-08,15,base,36.287751,33.742010,42.100238,43.212619,44.434456,22500,0.000000,PASS
TP_0098,FD02_humid_hot_cloudy_or_diffuse_20260508,2026-05-08,15,overhead_as_canopy,36.052183,33.604050,41.924382,43.212619,44.434456,22500,0.000000,PASS
TP_0098,FD02_humid_hot_cloudy_or_diffuse_20260508,2026-05-08,16,base,37.341939,34.221111,45.365710,46.525175,47.694878,22500,0.000000,PASS
TP_0098,FD02_humid_hot_cloudy_or_diffuse_20260508,2026-05-08,16,overhead_as_canopy,37.029696,34.033939,45.076468,46.525175,47.694878,22500,0.000000,PASS
TP_0115,FD01_high_shortwave_hot_20260507,2026-05-07,10,base,40.661434,43.530394,46.173885,46.525715,46.629623,22500,0.000000,PASS
TP_0115,FD01_high_shortwave_hot_20260507,2026-05-07,10,overhead_as_canopy,40.661434,43.530394,46.173885,46.525715,46.629623,22500,0.000000,PASS
