probability_case_id,probability_case_label,probability_source_kind,policy_operating_point,station_id,policy_threshold,n_rows,n_ge31,n_ge33_exploratory,observed_event_rate,mean_probability,p_ge31_Brier,mean_probability_error_obs_minus_p,probability_bias_pred_minus_obs,mean_context_adjusted_probability_error_obs_minus_p,radiation_hot_support_count,very_high_shortwave_support_count,very_high_shortwave_3h_support_count,computed_TP,computed_FP,computed_FN,computed_TN,computed_precision,computed_recall,computed_false_alarm_ratio,computed_false_alarm_rate,computed_miss_rate,low_support_warning_flag,low_support_reason,source_policy_threshold_mean,source_policy_TP,source_policy_FP,source_policy_FN,source_policy_TN,source_policy_precision,source_policy_recall,source_policy_F1,source_policy_CSI,source_policy_false_alarm_ratio,source_policy_miss_rate,miss_rate_at_policy,false_alarm_ratio_at_policy,precision_at_policy,recall_at_policy,TP_at_policy,FP_at_policy,FN_at_policy,TN_at_policy,false_alarm_rate_note
current_companion_best_f1,M4_inertia_ridge + isotonic_score_only best-F1 policy,current_companion,selected_candidate_policy,S148,0.3000000000000001,62,5,0,0.08064516129032258,0.12384788032488517,0.06841908816112091,-0.043202719034562596,0.043202719034562596,-0.03905893056521523,32,16,17,3,6,2,51,0.3333333333333333,0.6,0.6666666666666666,0.10526315789473684,0.4,True,n_ge31<10,0.3000000000000001,3,6,2,51,0.3333333333333333,0.6,0.4285714285714285,0.2727272727272727,0.6666666666666666,0.4,0.4,0.6666666666666666,0.3333333333333333,0.6,3,6,2,51,false_alarm_ratio=FP/(TP+FP); computed_false_alarm_rate=FP/(FP+TN)
current_companion_best_f1,M4_inertia_ridge + isotonic_score_only best-F1 policy,current_companion,selected_candidate_policy,S140,0.32,62,4,0,0.06451612903225806,0.12626854734196485,0.04347262905623126,-0.0617524183097068,0.0617524183097068,-0.0636058940935465,25,16,15,4,4,0,54,0.5,1.0,0.5,0.06896551724137931,0.0,True,n_ge31<10,0.32,4,4,0,54,0.5,1.0,0.6666666666666666,0.5,0.5,0.0,0.0,0.5,0.5,1.0,4,4,0,54,false_alarm_ratio=FP/(TP+FP); computed_false_alarm_rate=FP/(FP+TN)
current_companion_best_f1,M4_inertia_ridge + isotonic_score_only best-F1 policy,current_companion,selected_candidate_policy,S150,0.3099999999999999,62,3,0,0.04838709677419355,0.12279388503571495,0.0646140682156067,-0.07440678826152142,0.07440678826152142,-0.07254597217427218,28,15,15,2,6,1,53,0.25,0.6666666666666666,0.75,0.1016949152542373,0.3333333333333333,True,n_ge31<10,0.3099999999999999,2,6,1,53,0.25,0.6666666666666666,0.3636363636363636,0.2222222222222222,0.75,0.3333333333333333,0.3333333333333333,0.75,0.25,0.6666666666666666,2,6,1,53,false_alarm_ratio=FP/(TP+FP); computed_false_alarm_rate=FP/(FP+TN)
current_companion_best_f1,M4_inertia_ridge + isotonic_score_only best-F1 policy,current_companion,selected_candidate_policy,S146,0.32,62,3,0,0.04838709677419355,0.11921279703550956,0.05042123576465682,-0.070825700261316,0.070825700261316,-0.07267917604515571,25,16,15,3,5,0,54,0.375,1.0,0.625,0.0847457627118644,0.0,True,n_ge31<10,0.32,3,5,0,54,0.375,1.0,0.5454545454545454,0.375,0.625,0.0,0.0,0.625,0.375,1.0,3,5,0,54,false_alarm_ratio=FP/(TP+FP); computed_false_alarm_rate=FP/(FP+TN)
current_companion_best_f1,M4_inertia_ridge + isotonic_score_only best-F1 policy,current_companion,selected_candidate_policy,S139,0.3099999999999999,62,1,0,0.016129032258064516,0.12195950247524151,0.06899121879932574,-0.105830470217177,0.105830470217177,-0.10616113180150338,31,17,17,1,8,0,53,0.1111111111111111,1.0,0.8888888888888888,0.13114754098360656,0.0,True,n_ge31<10,0.3099999999999999,1,8,0,53,0.1111111111111111,1.0,0.1999999999999999,0.1111111111111111,0.8888888888888888,0.0,0.0,0.8888888888888888,0.1111111111111111,1.0,1,8,0,53,false_alarm_ratio=FP/(TP+FP); computed_false_alarm_rate=FP/(FP+TN)
current_companion_best_f1,M4_inertia_ridge + isotonic_score_only best-F1 policy,current_companion,selected_candidate_policy,S124,0.32,62,0,0,0.0,0.1268822180490889,0.07839738810326946,-0.1268822180490889,0.1268822180490889,-0.12273842957974153,32,16,17,0,9,0,53,0.0,,1.0,0.14516129032258066,,True,n_ge31<10,0.32,0,9,0,53,0.0,,,0.0,1.0,,,1.0,0.0,,0,9,0,53,false_alarm_ratio=FP/(TP+FP); computed_false_alarm_rate=FP/(FP+TN)
current_companion_recall90,M4_inertia_ridge + isotonic_score_only recall90 policy,current_companion,recall_90,S142,0.2699999999999999,62,15,7,0.24193548387096775,0.11412229578107011,0.08965081404105156,0.12781318808989764,-0.12781318808989764,0.1300358979139762,29,15,15,13,1,2,46,0.9285714285714286,0.8666666666666667,0.07142857142857142,0.02127659574468085,0.13333333333333333,False,,0.2699999999999999,13,1,2,46,0.9285714285714286,0.8666666666666667,0.896551724137931,0.8125,0.0714285714285714,0.1333333333333333,0.1333333333333333,0.0714285714285714,0.9285714285714286,0.8666666666666667,13,1,2,46,false_alarm_ratio=FP/(TP+FP); computed_false_alarm_rate=FP/(FP+TN)
current_companion_recall90,M4_inertia_ridge + isotonic_score_only recall90 policy,current_companion,recall_90,S137,0.2800000000000001,62,13,2,0.20967741935483872,0.11597618457951105,0.10513503435019975,0.09370123477532767,-0.09370123477532767,0.09592394459940624,29,15,15,10,4,3,45,0.7142857142857143,0.7692307692307693,0.2857142857142857,0.08163265306122448,0.23076923076923078,False,,0.2800000000000001,10,4,3,45,0.7142857142857143,0.7692307692307693,0.7407407407407408,0.5882352941176471,0.2857142857142857,0.2307692307692307,0.2307692307692307,0.2857142857142857,0.7142857142857143,0.7692307692307693,10,4,3,45,false_alarm_ratio=FP/(TP+FP); computed_false_alarm_rate=FP/(FP+TN)
current_companion_recall90,M4_inertia_ridge + isotonic_score_only recall90 policy,current_companion,recall_90,S135,0.2800000000000001,62,11,0,0.1774193548387097,0.10885143998503181,0.06278220371304118,0.06856791485367787,-0.06856791485367787,0.06736410394910079,25,14,15,10,2,1,49,0.8333333333333334,0.9090909090909091,0.16666666666666666,0.0392156862745098,0.09090909090909091,False,,0.2800000000000001,10,2,1,49,0.8333333333333334,0.9090909090909092,0.8695652173913043,0.7692307692307693,0.1666666666666666,0.0909090909090909,0.0909090909090909,0.1666666666666666,0.8333333333333334,0.9090909090909092,10,2,1,49,false_alarm_ratio=FP/(TP+FP); computed_false_alarm_rate=FP/(FP+TN)
current_companion_recall90,M4_inertia_ridge + isotonic_score_only recall90 policy,current_companion,recall_90,S128,0.2800000000000001,62,11,2,0.1774193548387097,0.11980449131611613,0.04818053326573115,0.057614863522593526,-0.057614863522593526,0.05455689694728274,28,15,15,11,2,0,49,0.8461538461538461,1.0,0.15384615384615385,0.0392156862745098,0.0,False,,0.2800000000000001,11,2,0,49,0.8461538461538461,1.0,0.9166666666666666,0.8461538461538461,0.1538461538461538,0.0,0.0,0.1538461538461538,0.8461538461538461,1.0,11,2,0,49,false_alarm_ratio=FP/(TP+FP); computed_false_alarm_rate=FP/(FP+TN)
current_companion_recall90,M4_inertia_ridge + isotonic_score_only recall90 policy,current_companion,recall_90,S129,0.2899999999999998,62,10,0,0.16129032258064516,0.11251100886980495,0.04955290817635703,0.048779313710840225,-0.048779313710840225,0.052923102180187566,32,16,17,8,3,2,49,0.7272727272727273,0.8,0.2727272727272727,0.057692307692307696,0.2,False,,0.2899999999999998,8,3,2,49,0.7272727272727273,0.8,0.761904761904762,0.6153846153846154,0.2727272727272727,0.2,0.2,0.2727272727272727,0.7272727272727273,0.8,8,3,2,49,false_alarm_ratio=FP/(TP+FP); computed_false_alarm_rate=FP/(FP+TN)
current_companion_recall90,M4_inertia_ridge + isotonic_score_only recall90 policy,current_companion,recall_90,S127,0.3000000000000001,62,10,0,0.16129032258064516,0.12431259194065776,0.03102963086272176,0.0369777306399874,-0.0369777306399874,0.03830716338165443,30,16,16,10,4,0,48,0.7142857142857143,1.0,0.2857142857142857,0.07692307692307693,0.0,False,,0.3000000000000001,10,4,0,48,0.7142857142857143,1.0,0.8333333333333333,0.7142857142857143,0.2857142857142857,0.0,0.0,0.2857142857142857,0.7142857142857143,1.0,10,4,0,48,false_alarm_ratio=FP/(TP+FP); computed_false_alarm_rate=FP/(FP+TN)
current_companion_recall90,M4_inertia_ridge + isotonic_score_only recall90 policy,current_companion,recall_90,S147,0.3000000000000001,62,10,0,0.16129032258064516,0.12459648610765457,0.03103462837618949,0.036693836472990585,-0.036693836472990585,0.03802326921465761,30,16,16,10,4,0,48,0.7142857142857143,1.0,0.2857142857142857,0.07692307692307693,0.0,False,,0.3000000000000001,10,4,0,48,0.7142857142857143,1.0,0.8333333333333333,0.7142857142857143,0.2857142857142857,0.0,0.0,0.2857142857142857,0.7142857142857143,1.0,10,4,0,48,false_alarm_ratio=FP/(TP+FP); computed_false_alarm_rate=FP/(FP+TN)
current_companion_recall90,M4_inertia_ridge + isotonic_score_only recall90 policy,current_companion,recall_90,S141,0.2899999999999998,62,10,2,0.16129032258064516,0.12174529051042551,0.05952697942060766,0.039545032070219664,-0.039545032070219664,0.036487065494908856,28,15,15,9,4,1,48,0.6923076923076923,0.9,0.3076923076923077,0.07692307692307693,0.1,False,,0.2899999999999998,9,4,1,48,0.6923076923076923,0.9,0.7826086956521738,0.6428571428571429,0.3076923076923077,0.1,0.1,0.3076923076923077,0.6923076923076923,0.9,9,4,1,48,false_alarm_ratio=FP/(TP+FP); computed_false_alarm_rate=FP/(FP+TN)
current_companion_recall90,M4_inertia_ridge + isotonic_score_only recall90 policy,current_companion,recall_90,S151,0.2899999999999998,62,9,0,0.14516129032258066,0.11460871182232375,0.03980567951492362,0.03055257850025693,-0.03055257850025693,0.02785650566177548,28,15,15,9,4,0,49,0.6923076923076923,1.0,0.3076923076923077,0.07547169811320754,0.0,True,n_ge31<10,0.2899999999999998,9,4,0,49,0.6923076923076923,1.0,0.8181818181818181,0.6923076923076923,0.3076923076923077,0.0,0.0,0.3076923076923077,0.6923076923076923,1.0,9,4,0,49,false_alarm_ratio=FP/(TP+FP); computed_false_alarm_rate=FP/(FP+TN)
