station_id,metric_group,metric_name,probability_case_id,n_rows,n_ge31,estimate,ci_low,ci_high,bootstrap_iterations,stability_label,low_support_warning_flag
S143,high_tail_residual,mean_high_tail_residual_c,,62,7,0.2057954567097866,-0.23500362581860676,0.787283761661874,1000,unstable_low_support,True
S143,high_tail_residual_context_adjusted,mean_context_adjusted_high_tail_residual_c,,62,7,0.1900553343929694,-0.1907011854152903,0.7268312920708813,1000,unstable_low_support,True
S144,score_residual,mean_score_residual_c,,62,8,0.3489265699621603,0.21991621539472883,0.4764280027189834,1000,stable_positive_bias,False
S144,score_residual_context_adjusted,mean_context_adjusted_score_residual_c,,62,8,0.34855476025759674,0.2074968146299734,0.4891375370114631,1000,stable_positive_bias,False
S144,high_tail_residual,mean_high_tail_residual_c,,62,8,0.7938131847977141,0.38167630071659736,1.2328531608032398,1000,unstable_low_support,True
S144,high_tail_residual_context_adjusted,mean_context_adjusted_high_tail_residual_c,,62,8,0.7951497989321954,0.37617536513588473,1.2062150317519802,1000,unstable_low_support,True
S145,score_residual,mean_score_residual_c,,62,8,-0.15875805871590942,-0.3353702412783594,0.027086599631088077,1000,no_station_signal,False
S145,score_residual_context_adjusted,mean_context_adjusted_score_residual_c,,62,8,-0.16569943638923346,-0.3488928140344017,0.01944957114395854,1000,no_station_signal,False
S145,high_tail_residual,mean_high_tail_residual_c,,62,8,0.9089059208076979,0.33848660503512,1.424798009135412,1000,unstable_low_support,True
S145,high_tail_residual_context_adjusted,mean_context_adjusted_high_tail_residual_c,,62,8,0.8849772791642739,0.33862007534724164,1.450600017652877,1000,unstable_low_support,True
S146,score_residual,mean_score_residual_c,,62,3,-0.4404295472961892,-0.6553976743647357,-0.22869833745629808,1000,stable_negative_bias,False
S146,score_residual_context_adjusted,mean_context_adjusted_score_residual_c,,62,3,-0.4430243350321282,-0.6407406866817382,-0.23686892694737774,1000,stable_negative_bias,False
S146,high_tail_residual,mean_high_tail_residual_c,,62,3,0.13317440880981954,-0.10578784523760021,0.36744591498727885,1000,unstable_low_support,True
S146,high_tail_residual_context_adjusted,mean_context_adjusted_high_tail_residual_c,,62,3,0.16665524551912383,-0.015977021825224355,0.5048725932606518,1000,unstable_low_support,True
S147,score_residual,mean_score_residual_c,,62,10,0.11525611845472927,-0.03217291623950313,0.26440229360413076,1000,no_station_signal,False
S147,score_residual_context_adjusted,mean_context_adjusted_score_residual_c,,62,10,0.11488430875016571,-0.031114164136281285,0.27337726637908494,1000,no_station_signal,False
S147,high_tail_residual,mean_high_tail_residual_c,,62,10,0.8853499339877476,0.5164244209717979,1.2289292120040853,1000,stable_positive_bias,False
S147,high_tail_residual_context_adjusted,mean_context_adjusted_high_tail_residual_c,,62,10,0.8820113387213236,0.48926207501370084,1.251878057702145,1000,stable_positive_bias,False
S148,score_residual,mean_score_residual_c,,62,5,-0.34560127807035035,-0.5206580809640661,-0.171199734332555,1000,stable_negative_bias,False
S148,score_residual_context_adjusted,mean_context_adjusted_score_residual_c,,62,5,-0.339386772099936,-0.5136960443655517,-0.1697199405285407,1000,stable_negative_bias,False
S148,high_tail_residual,mean_high_tail_residual_c,,62,5,0.3319635832398369,-0.14614454532446075,0.8143935640998257,1000,unstable_low_support,True
